Optimizing /h/ywang30/nofib/spectral/awards
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 286992.0
01000000010011000001100010010000110101,01000000010011000001100010010000110101000101100101100011010 287024.0
10101001001101110101110100001111000100,10101001001101110101110100001111000100100010000010001011001 282024.0
10100000100100101010011110011011100110,10100000100100101010011110011011100110000000111101110101110 282024.0
00001001001100100111000110100101010110,00001001001100100111000110100101010110100110000001010000010 573984.0
10000000000010000000010011100110111001,10000000000010000000010011100110111001011011011001101100000 573984.0
10100001111100010101000101001100010010,10100001111100010101000101001100010010111100000011001000001 282008.0
11100000100000000010100111111101110110,11100000100000000010100111111101110110111010111100000001011 573984.0
11011001001011000000111101110001011011,11011001001011000000111101110001011011001000101011001111010 573984.0
00001000011100101000111001101100110000,00001000011100101000111001101100110000111000001011110001000 573984.0
01110101010001000001101011111010001110,01110101010001000001101011111010001110001001100100011000010 573984.0
11101100100000001100111011010010100010,11101100100000001100111011010010100010100000011101100001100 282008.0
10111110000010000000010110101101000111,10111110000010000000010110101101000111000110010000000001010 573984.0
00001110000010000101000010101011000101,00001110000010000101000010101011000101001000111010000001010 573984.0
11010010000010011000001000100101010000,11010010000010011000001000100101010000100000100101011001001 573984.0
00110000011001101101011110101101001100,00110000011001101101011110101101001100000010010000111000101 573984.0
best: 0.9826336622623627
00001000001110000101010010101100100001,00001000001110000101010010101100100001011000111010100001000 573984.0
10101110111010000101000111101100010010,10101110111010000101000111101100010010011000100010001001001 573984.0
00001000011100101000111001101100110000,00001000011100101000111001101100110000111000001011110001000 573984.0
10101001001101110101110100001111000100,10101001001101110101110100001111000100100010000010001011001 282024.0
11110100000000001001111011110010000110,11110100000000001001111011110010000110100001110100110001010 573984.0
10100001111100010101000101001100010010,10100001111100010101000101001100010010111100000011001000001 282008.0
10101001101100010100110001011110000010,10101001101100010100110001011110000010100000001011100001100 282008.0
11110010100010001000011110111001110100,11110010100010001000011110111001110100000000111101010101010 573984.0
01110010010011011001011100101101010000,01110010010011011001011100101101010000000000010100111000101 573984.0
11110010110011100111010111111101000011,11110010110011100111010111111101000011100110000000001000011 573984.0
11100100000110101111010110000011000110,11100100000110101111010110000011000110000000111110100001100 282120.0
11000100110100010001000101011100011010,11000100110100010001000101011100011010011100010100110100001 282136.0
11101010100000001110011111001101101011,11101010100000001110011111001101101011101000011101100101100 282008.0
00011010010110101101111001101010110000,00011010010110101101111001101010110000111100011000100001000 573984.0
00011110010000000000010111100111100111,00011110010000000000010111100111100111000010011000101001000 573984.0
10100001111100010101000101001100010010,10100001111100010101000101001100010010111100000011001000001 282008.0
11101100100000001100111011010010100010,11101100100000001100111011010010100010100000011101100001100 282008.0
10101001001101110101110100001111000100,10101001001101110101110100001111000100100010000010001011001 282024.0
10100000100100101010011110011011100110,10100000100100101010011110011011100110000000111101110101110 282024.0
01000000010011000001100010010000110101,01000000010011000001100010010000110101000101100101100011010 287024.0
00001001001100100111000110100101010110,00001001001100100111000110100101010110100110000001010000010 573984.0
10000000000010000000010011100110111001,10000000000010000000010011100110111001011011011001101100000 573984.0
best: 0.9826336622623627
11100000100000001000011010010011100010,11100000100000001000011010010011100010100000111101100001100 282008.0
11101011001101011100011100111111000100,11101011001101011100011100111111000100000010101010001001000 573984.0
11101000101101011101110000000011000000,11101000101101011101110000000011000000100010011111101011100 282104.0
10101011100100000110011111001100001011,10101011100100000110011111001100001011101100000101000101100 282024.0
11100101011101110001100101011100001110,11100101011101110001100101011100001110010000000010111011001 282040.0
01101010000001011101011110000100110000,01101010000001011101011110000100110000100000010101101001100 287008.0
10001100001110101101010110100011000110,10001100001110101101010110100011000110011000111010100001100 573984.0
00101110111011000101100111101000010111,00101110111011000101100111101000010111011101100010000011000 573984.0
10100000100100101010011110011011100110,10100000100100101010011110011011100110000000111101110101110 282024.0
01100100000101111001011011110100000110,01100100000101111001011011110100000110010000111101111000100 573984.0
10011001011010101101010110001111011010,10011001011010101101010110001111011010000011010011001111101 282008.0
10111101101101001100101000010000011001,10111101101101001100101000010000011001100101001011101001000 282640.0
11110001001111110101010100011101001100,11110001001111110101010100011101001100111010000010011011101 282640.0
10101000101101010100100000010100100010,10101000101101010100100000010100100010100000100110000111000 282008.0
10111110101110000101110010101101100000,10111110101110000101110010101101100000011010101010100101000 573984.0
10100001111100010101000101001100010010,10100001111100010101000101001100010010111100000011001000001 282008.0
10101001101100010100110001011110000010,10101001101100010100110001011110000010100000001011100001100 282008.0
11101010100000001110011111001101101011,11101010100000001110011111001101101011101000011101100101100 282008.0
11101100100000001100111011010010100010,11101100100000001100111011010010100010100000011101100001100 282008.0
10101001001101110101110100001111000100,10101001001101110101110100001111000100100010000010001011001 282024.0
10100000100100101010011110011011100110,10100000100100101010011110011011100110000000111101110101110 282024.0
11100100000110101111010110000011000110,11100100000110101111010110000011000110000000111110100001100 282120.0
best: 0.9826336622623627
10101001100101111011110100011011000100,10101001100101111011110100011011000100000000000000101001101 282024.0
10101101001101111100110000001010001001,10101101001101111100110000001010001001100000000011101011000 282008.0
10100000100100101010011110011011100110,10100000100100101010011110011011100110000000111101110101110 282024.0
11101000101101011000000000010010100010,11101000101101011000000000010010100010100000100111100101100 282008.0
11101001100100011100110001011011100010,11101001100100011100110001011011100010100000001111100001100 282008.0
10101001001100010100110100001110000110,10101001001100010100110100001110000110100000001010101011000 282024.0
11100100000000111001011011010100100110,11100100000000111001011011010100100110110000011101111000100 282120.0
10101000101101010101100000001111100010,10101000101101010101100000001111100010100000000110000011000 282104.0
11001000100010101101010110011111111010,11001000100010101101010110011111111010100001011011001001100 282104.0
11111001001011110001010110001111011000,11111001001011110001010110001111011000000010010001010101111 282624.0
11111101100000011100100010110011100000,11111101100000011100100010110011100000110000001101110001100 573984.0
10111001011100100001110001000000010000,10111001011100100001110001000000010000100010000010001010001 282624.0
10100000101100001010101101001101011010,10100000101100001010101101001101011010111110110010101000011 282008.0
01101011100001111100001110100111100111,01101011100001111100001110100111100111101100011101110101100 573984.0
00111100101000000101100011101000000110,00111100101000000101100011101000000110000111100010000011010 573984.0
11100000100000001000011010010011100010,11100000100000001000011010010011100010100000111101100001100 282008.0
10011001011010101101010110001111011010,10011001011010101101010110001111011010000011010011001111101 282008.0
10101000101101010100100000010100100010,10101000101101010100100000010100100010100000100110000111000 282008.0
10100001111100010101000101001100010010,10100001111100010101000101001100010010111100000011001000001 282008.0
10101001101100010100110001011110000010,10101001101100010100110001011110000010100000001011100001100 282008.0
11101010100000001110011111001101101011,11101010100000001110011111001101101011101000011101100101100 282008.0
11101100100000001100111011010010100010,11101100100000001100111011010010100010100000011101100001100 282008.0
best: 0.9826336622623627
11101001101101011000000100010000110010,11101001101101011000000100010000110010101000000111100101001 282008.0
11101001100100011110110000011011000110,11101001100100011110110000011011000110000000000010101001101 282024.0
11101000101101011001000000000110100010,11101000101101011001000000000110100010100000000111000001000 282104.0
10101100100101000100110011000011100010,10101100100101000100110011000011100010100000010101100001000 282008.0
10001001000000101100110010001111001001,10001001000000101100110010001111001001100001001011001011000 282008.0
10111011110010101110010111001101001010,10111011110010101110010111001101001010000000011111001111100 282624.0
10100000101101010101000001001100010010,10100000101101010101000001001100010010110000000110000001001 282104.0
11101001100100001000011001010011100010,11101001100100001000011001010011100010100000011111100001100 282008.0
11101000101101011000000000000110100010,11101000101101011000000000000110100010100000100110100001100 282008.0
10100000101100010100011100011110000010,10100000101100010100011100011110000010100000001011110101100 282024.0
01101000101000010100010011010011100010,01101000101000010100010011010011100010110000001110000001110 286928.0
11100000101100001110010101101101111000,11100000101100001110010101101101111000101100110010011100111 573984.0
00100101110111010101101001001000110011,00100101110111010101101001001000110011101101110001000100110 286928.0
10100001101101010111100110001111011110,10100001101101010111100110001111011110111100000101000010001 282024.0
00100011010100000101010011010100000010,00100011010100000101010011010100000010111000011011001001001 286912.0
10101101001101111100110000001010001001,10101101001101111100110000001010001001100000000011101011000 282008.0
11101000101101011000000000010010100010,11101000101101011000000000010010100010100000100111100101100 282008.0
11101001100100011100110001011011100010,11101001100100011100110001011011100010100000001111100001100 282008.0
10100000101100001010101101001101011010,10100000101100001010101101001101011010111110110010101000011 282008.0
11100000100000001000011010010011100010,11100000100000001000011010010011100010100000111101100001100 282008.0
10011001011010101101010110001111011010,10011001011010101101010110001111011010000011010011001111101 282008.0
10101000101101010100100000010100100010,10101000101101010100100000010100100010100000100110000111000 282008.0
best: 0.9826336622623627
11101100100000010100010011010011100010,11101100100000010100010011010011100010110000010101000001110 282024.0
10011000101100111101010100011110010010,10011000101100111101010100011110010010100010001011001111100 282104.0
10101001001101111100110000001010001001,10101001001101111100110000001010001001100000001011001011000 282008.0
11101100101101001000010000010010100010,11101100101101001000010000010010100010100000100101100001000 282008.0
11101001101101001001010000000110100010,11101001101101001001010000000110100010100000010111000001000 282008.0
11101000100101000100010010010011100010,11101000100101000100010010010011100010100000010101100001100 282024.0
11001001011011111101010100011011010010,11001001011011111101010100011011010010000001010111001101001 282008.0
01101001100100011100010011010011100010,01101001100100011100010011010011100010100000001110100001110 286912.0
11111011100000001110010101011011001010,11111011100000001110010101011011001010000000011111101001100 282624.0
