Optimizing /h/ywang30/nofib/spectral/banner
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 265088.0
0100000001001100 265088.0
1010100100110111 265088.0
1010000010010010 265088.0
0000100100110010 265088.0
1000000000001000 265088.0
1010000111110001 265088.0
1110000010000000 265088.0
1101100100101100 265088.0
0000100001110010 265088.0
0111010101000100 297656.0
1110110010000000 297656.0
1011111000001000 297656.0
0000111000001000 297656.0
1101001000001001 265088.0
0011000001100110 265088.0
best: 1.0
0000100000111000 265088.0
1110100111101000 265088.0
0000100001110010 265088.0
1010100100110111 265088.0
1001100000110010 265088.0
1111000000000100 265088.0
0011100010100000 265088.0
1111001010001000 265088.0
0111001001001101 265088.0
1001111011001111 297656.0
0000010011000100 297656.0
1100010011010001 297656.0
0011011001100110 297656.0
0001101001011010 265088.0
0010000001000000 265088.0
0100000001001100 265088.0
1010100100110111 265088.0
1010000010010010 265088.0
0000100100110010 265088.0
1000000000001000 265088.0
1010000111110001 265088.0
1110000010000000 265088.0
best: 1.0
1000100100110110 265088.0
0110001001000000 265088.0
0001100001000111 265088.0
1000100110110000 265088.0
1010100011010010 265088.0
0111001000001101 265088.0
0000100000111000 265088.0
1110100111101000 265088.0
0000100100110010 265088.0
0000100000100101 265088.0
1001000011001111 265088.0
0010110010100101 297656.0
1101100000000000 265088.0
0011100110100100 265088.0
1011111010111000 297656.0
0000100000111000 265088.0
1110100111101000 265088.0
0000100001110010 265088.0
1010100100110111 265088.0
1001100000110010 265088.0
1111000000000100 265088.0
0011100010100000 265088.0
best: 1.0
0001100000110010 265088.0
0001100000100010 265088.0
1000100110110010 265088.0
1000100100000111 265088.0
1010100110100000 265088.0
1011100000110000 265088.0
1000100100110101 265088.0
0011100110100000 265088.0
1100000111101011 265088.0
1111000010001010 265088.0
1011100000110110 265088.0
1011100010010111 265088.0
0000100001110011 265088.0
1000100101110101 265088.0
1111101110100100 265088.0
1000100100110110 265088.0
0110001001000000 265088.0
0001100001000111 265088.0
1000100110110000 265088.0
1010100011010010 265088.0
0111001000001101 265088.0
0000100000111000 265088.0
best: 1.0
1000100100110110 265088.0
1011000000011110 265088.0
0010100110000111 265088.0
1011100000110100 265088.0
1000100000100011 265088.0
1001100000110111 265088.0
1010100110100000 265088.0
1000100100110110 265088.0
0000100100100111 265088.0
0001000100110010 265088.0
0010100010010000 265088.0
0100100001110011 265088.0
0011110000011010 297656.0
1000100111110100 265088.0
0000101111010100 265088.0
0001100000110010 265088.0
0001100000100010 265088.0
1000100110110010 265088.0
1000100100000111 265088.0
1010100110100000 265088.0
1011100000110000 265088.0
1000100100110101 265088.0
best: 1.0
1100100000110011 265088.0
0011100100110000 265088.0
1000100000110010 265088.0
1000100001110111 265088.0
1000100100110110 265088.0
1011000010011110 265088.0
1010100000110100 265088.0
0100100110110010 265088.0
0000101111010100 265088.0
0100110110111010 297656.0
0000100010111011 265088.0
1000110100001100 297656.0
1010101100110110 265088.0
0110001100000110 265088.0
0011000010110110 265088.0
1000100100110110 265088.0
1011000000011110 265088.0
0010100110000111 265088.0
1011100000110100 265088.0
1000100000100011 265088.0
1001100000110111 265088.0
1010100110100000 265088.0
best: 1.0
1011000000011110 265088.0
1011100000110100 265088.0
1100100000110011 265088.0
1011000000011110 265088.0
1000100001110011 265088.0
0000100100110110 265088.0
0001101100011110 265088.0
1011100100110000 265088.0
0010100100110000 265088.0
1001000000100011 265088.0
0000000001010010 265088.0
1011000000111010 265088.0
0100000110010100 265088.0
1000011110110010 297656.0
0000101100110001 265088.0
1100100000110011 265088.0
0011100100110000 265088.0
1000100000110010 265088.0
1000100001110111 265088.0
1000100100110110 265088.0
1011000010011110 265088.0
1010100000110100 265088.0
best: 1.0
1010100001110011 265088.0
1001100100111110 265088.0
1011100001111011 265088.0
1100100001110111 265088.0
1100100000110011 265088.0
0100100000110110 265088.0
0011100100110010 265088.0
1000100100110010 265088.0
0001101100111110 265088.0
1010110010110110 297656.0
1000101100110000 265088.0
0011000011011111 265088.0
1011000000101110 265088.0
0100101100100111 265088.0
1000100001010011 265088.0
1011000000011110 265088.0
1011100000110100 265088.0
1100100000110011 265088.0
1000100001110011 265088.0
0000100100110110 265088.0
0001101100011110 265088.0
1011100100110000 265088.0
best: 1.0
1011100001010010 265088.0
1000101100111010 265088.0
1011100100111110 265088.0
0011100111011110 265088.0
1100100000110011 265088.0
1001100100111110 265088.0
1000100100110000 265088.0
0100100100111111 265088.0
1010100001011010 265088.0
1010100011101011 265088.0
0011100100011000 265088.0
1000101100111001 265088.0
0011101000110010 265088.0
1111101100100000 265088.0
1100001010010011 265088.0
1010100001110011 265088.0
1001100100111110 265088.0
1011100001111011 265088.0
1100100001110111 265088.0
1100100000110011 265088.0
0100100000110110 265088.0
0011100100110010 265088.0
best: 1.0
1111101100100000 265088.0
0111100100110010 265088.0
1111001000010010 265088.0
1001100000111110 265088.0
1001100100111000 265088.0
1010100001001011 265088.0
0001100100011000 265088.0
1000100100110110 265088.0
1000100100111001 265088.0
1110001010000011 265088.0
0010000111011010 265088.0
1000001001110010 265088.0
0110000010110111 265088.0
0001000101111111 265088.0
0010101010101010 265088.0
1011100001010010 265088.0
1000101100111010 265088.0
1011100100111110 265088.0
0011100111011110 265088.0
1100100000110011 265088.0
1001100100111110 265088.0
1000100100110000 265088.0
best: 1.0
0010001010100010 265088.0
1110100001010011 265088.0
0010101010111010 265088.0
1000100100111000 265088.0
1001100000111110 265088.0
1111001010000001 265088.0
1010000101011110 265088.0
0011100000101010 265088.0
1010100101101010 265088.0
0011110100011101 297656.0
1011100100111011 265088.0
1001100100001101 265088.0
1100100010100010 265088.0
1110011110100111 297656.0
1011100001010110 265088.0
1111101100100000 265088.0
0111100100110010 265088.0
1111001000010010 265088.0
1001100000111110 265088.0
1001100100111000 265088.0
1010100001001011 265088.0
0001100100011000 265088.0
best: 1.0
1010100000001011 265088.0
1000100100111010 265088.0
1010001010000001 265088.0
1110100000010010 265088.0
1001100001111110 265088.0
1011100000100110 265088.0
1111101001010110 265088.0
0011100000101010 265088.0
1001100100011111 265088.0
0011000011011010 265088.0
0001110010000110 297656.0
1110101001011011 265088.0
1010001101010100 265088.0
1001100110011001 265088.0
0001101010110010 265088.0
0010001010100010 265088.0
1110100001010011 265088.0
0010101010111010 265088.0
1000100100111000 265088.0
1001100000111110 265088.0
1111001010000001 265088.0
1010000101011110 265088.0
best: 1.0
1000101101010100 265088.0
1010000100111010 265088.0
1001000010011010 265088.0
1001100010110110 265088.0
1110100001010010 265088.0
1001100010011100 265088.0
0011100001110110 265088.0
1110100000011110 265088.0
1011101000001010 265088.0
1011001101010110 265088.0
1111000011011011 265088.0
1001100100001001 265088.0
1101100000010010 265088.0
1110101000111010 265088.0
0010101001011011 265088.0
1010100000001011 265088.0
1000100100111010 265088.0
1010001010000001 265088.0
1110100000010010 265088.0
1001100001111110 265088.0
1011100000100110 265088.0
1111101001010110 265088.0
best: 1.0
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
804.10user 983.15system 40:18.09elapsed 73%CPU (0avgtext+0avgdata 130528maxresident)k
1053480inputs+3964640outputs (728major+66910551minor)pagefaults 0swaps
