Optimizing /h/ywang30/nofib/shootout/binary-trees
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: -2.0
01000000000011000001100010010000011101000101100101 -4.0
10101001011101110101110100001111101100100010000010 -4.0
10100000110100101010011110011011001110000000111101 -4.0
00001001011100100111000110100101111110100110000001 -4.0
10000000010010000000010011100110010001011011011001 -4.0
10100001101100010101000101001100111010111100000011 -4.0
11100000110000000010100111111101011110111010111100 -4.0
11011001011011000000111101110001110011001000101011 -4.0
00001000001100101000111001101100011000111000001011 -4.0
01110101000001000001101011111010100110001001100100 -4.0
11101100110000001100111011010010001010100000011101 -4.0
10111110010010000000010110101101101111000110010000 -4.0
00001110010010000101000010101011101101001000111010 -4.0
11010010010010011000001000100101111000100000100101 -4.0
00110000001001101101011110101101100100000010010000 -4.0
best: 2.0
00001000011110000101010010101100001001011000111010 -4.0
10101110101010000101000111101100111010011000100010 -4.0
00001000001100101000111001101100011000111000001011 -4.0
00001100011010000101000110001011101101101010011010 -4.0
10110000010100101001011111111010101110000001110100 -4.0
11110000010001000010110111110001010111001010111010 -4.0
00111000111000001100011011111110101010000000011001 -4.0
11111110010010001000011110101101111100000110110001 -4.0
01110010000011011001011100101101111000000000010100 -4.0
11110010100011100111010111111101101011100110000000 -4.0
00000100100001000100101010001000111101000101100110 -4.0
00010000001001000101101011101010101110101001110011 -4.0
00110110001001101111111010110010101101001010010000 -4.0
00011010000110101101111001101010011000111100011000 -4.0
00011110000000000000010111100111001111000010011000 -4.0
01000000000011000001100010010000011101000101100101 -4.0
10101001011101110101110100001111101100100010000010 -4.0
10100000110100101010011110011011001110000000111101 -4.0
00001001011100100111000110100101111110100110000001 -4.0
10000000010010000000010011100110010001011011011001 -4.0
10100001101100010101000101001100111010111100000011 -4.0
11100000110000000010100111111101011110111010111100 -4.0
best: 2.0
10001001011101100101010100101111111110100010000000 -4.0
01111110000000001000011110100111001111000110110000 -4.0
00011000000001111001011000101101111000011000001001 -4.0
10100111101100000111111011011100101111001110000000 -4.0
10101000100100101010011011001000001100110000011101 -4.0
01111010010011011001011110101101111100000000010101 -4.0
00001000011110000101010010101100001001011000111010 -4.0
10101110101010000100000111101110110011011001101010 -4.0
00001001011100100111000110100101111110100110000001 -4.0
00100000010001011001111111111100101110110000111101 1.9394718672e10
10010000100011110010111100011011010000100001101100 -4.0
11100110100010111111001110110011110000100011000000 -4.0
11011000010000000000110011110100011001000011011001 -4.0
00111001111001001100001010110100001010000000110100 -4.0
10111110111110000101110010101101001000011010101010 -4.0
00001000011110000101010010101100001001011000111010 -4.0
10101110101010000101000111101100111010011000100010 -4.0
00001000001100101000111001101100011000111000001011 -4.0
00001100011010000101000110001011101101101010011010 -4.0
10110000010100101001011111111010101110000001110100 -4.0
11110000010001000010110111110001010111001010111010 -4.0
00111000111000001100011011111110101010000000011001 -4.0
best: -9.697359336e9
00110000011100100111011111100111101110100111110100 -4.0
00110000010000101001011111111110101110000001110101 -4.0
10101000111100101000011011001100001100110010001001 -4.0
10001001010001110101011000101111111100101000001000 -4.0
10100010111000110101011110100111111010100011000000 -4.0
10111000011100000001001111111000101110000001100000 -4.0
00100000010000011001111110001101101100111000011011 -4.0
00111001110000001001001010111010001010000001110100 -4.0
10000000101010110010001100101010110010001001101100 -4.0
11110000110010101110111100011011010010100000101110 -4.0
00011101011010010101011111101010101111111010001010 -4.0
10111000110101111110011110000111011000110000011101 -4.0
00001000001100111000101110100100110110100100110000 -4.0
10100001010000101011101110010110100010110100111101 -4.0
10111100111001000100000011101110100010000011101010 -4.0
00100000010001011001111111111100101110110000111101 -4.0
10001001011101100101010100101111111110100010000000 -4.0
01111110000000001000011110100111001111000110110000 -4.0
00011000000001111001011000101101111000011000001001 -4.0
10100111101100000111111011011100101111001110000000 -4.0
10101000100100101010011011001000001100110000011101 -4.0
01111010010011011001011110101101111100000000010101 -4.0
best: 2.0
10001000010001110101011000101101111000101000001001 -4.0
10010000010010010111111100111011000010111000101110 -4.0
00101001110001110101001010111011101110001001100000 -4.0
00011010010010010101011110101110111100000000011001 -4.0
10000000011000110001011101111010100110000001111100 -4.0
00110101010010011101111110001000101111111000001010 -4.0
10101001111000001000001011001100001010110010001100 -4.0
10100001010001011011101110111100100110110000111101 -4.0
00001001010001110101011010111011011000100001010000 -4.0
00111001011100100111110010100111101110100111110100 -4.0
00100011110100111101111100101111111010110011000001 -4.0
01001000001100111100010110000100010100110110110000 -4.0
10011001010001010101110011101110001110101011111000 -4.0
00011000010000111011111011101110110100011000001111 -4.0
00100011111000111011111000001110110010110000100101 -4.0
00110000011100100111011111100111101110100111110100 -4.0
00110000010000101001011111111110101110000001110101 -4.0
10101000111100101000011011001100001100110010001001 -4.0
10001001010001110101011000101111111100101000001000 -4.0
10100010111000110101011110100111111010100011000000 -4.0
10111000011100000001001111111000101110000001100000 -4.0
00100000010000011001111110001101101100111000011011 1.9394718672e10
best: -9.697359336e9
01001000010110110101011110000100111100010000111001 -4.0
00111001011100000001111111100001101110100101110100 -4.0
10100000011100100111011111100111101110100011111100 -4.0
00001000010000111000111011101110110100110100001100 -4.0
00100001010010011101101110101000100111110000011101 1.9552517824e10
10010000110010010101011100100011110010101010101100 1.9394718912e10
10101000010101010001001001101100111100000001000000 -4.0
01001000111100101000011111000100010100110010010000 -4.0
00000010111000111011111010001110110110110000000101 1.9394718648e10
01001100110010111101011010100101011101101100011101 -4.0
00100000111110110111011111110101000010100111100100 -4.0
10001101010011000001001000100100001100001000101101 -4.0
00110011010000110111111110000101101000011010100011 -4.0
01100011010001100100001100001011011111001001100000 -4.0
00011000111101100111011010100111100110101100110101 -4.0
00100000010000011001111110001101101100111000011011 -4.0
10001000010001110101011000101101111000101000001001 -4.0
10010000010010010111111100111011000010111000101110 -4.0
00101001110001110101001010111011101110001001100000 -4.0
00011010010010010101011110101110111100000000011001 -4.0
10000000011000110001011101111010100110000001111100 -4.0
00110101010010011101111110001000101111111000001010 -4.0
best: -9.776258912e9
10001000010001110111111000101111111100101000000001 -4.0
10101000010001010101001010111111101100001001000000 -4.0
01001000010110111000011111000100011100010010010001 -4.0
10010000010001110101011000100101111000101000101101 -4.0
00001010010010111001011111101110110100110100011100 -4.0
10000001010010011101111100100000100110101010001100 1.9597256896e10
00000010011000111011111000101110111000100000001001 1.9394718672e10
00001000111000111111011010111111101110100000000101 -4.0
00101001011000011001111111100001101100110100111110 -4.0
00000010010010010001011010100110111100010000101011 -4.0
11000100101010111101111001101101101101101111111111 -4.0
10001000011000110101001101011101111110100000100001 -4.0
01000000110101000110011111000101010100110010010100 -4.0
00101110110001010000011101001100101111110000011000 -4.0
00001011011100010000111111101010101110111000100010 -4.0
00100001010010011101101110101000100111110000011101 -4.0
10010000110010010101011100100011110010101010101100 1.9394718912e10
00000010111000111011111010001110110110110000000101 1.9394718648e10
01001000010110110101011110000100111100010000111001 -4.0
00111001011100000001111111100001101110100101110100 -4.0
10100000011100100111011111100111101110100011111100 1.939471896e10
00001000010000111000111011101110110100110100001100 -4.0
best: -9.798628448e9
10001000111000100111011110101111101110100001110100 1.9394718952e10
00100001011100111001111000100101111110100000011000 1.9552517824e10
01001000010100110101001110000101111110010000101001 -4.0
00001100010110010001011101000100101101110000011001 -4.0
00000000010010011001111110001000100111110000011101 -4.0
10000001010010011101101100100000100110100000011100 -4.0
10010000110010011101011100100011100110101010001100 -4.0
00001000010110110101011100100010111100001000101101 -4.0
00000010010001111001111010101111101000001000001000 -4.0
00100100110010011101111100010000110011110100111111 -4.0
00101011010001111010110011010110110101110100110100 -4.0
00100000001100111111011111000001101110100111100100 -4.0
10010000011101111111011010100000111001101001100101 -4.0
01001011011001111000011111111010110100101011100010 -4.0
01001100101010100111111001111101000001101110111011 -4.0
10000001010010011101111100100000100110101010001100 1.9597256896e10
10100000011100100111011111100111101110100011111100 -4.0
10010000110010010101011100100011110010101010101100 -4.0
00000010011000111011111000101110111000100000001001 -4.0
00000010111000111011111010001110110110110000000101 -4.0
10001000010001110111111000101111111100101000000001 -4.0
10101000010001010101001010111111101100001001000000 -4.0
best: -9.798628448e9
01001000100010011111111100110000000000101110011001 -4.0
00001010010000110001011110101111101100001000001000 -4.0
00000001011100111111111010100001111011100000101101 -4.0
00100001001100111111111101000101101110100000000100 -4.0
10011000010010010101001110100101110010110000101100 -4.0
10000000010001111011011010101010111000101001000000 -4.0
00001011010001111011110000011110111100110100010101 -4.0
00000000010001111101111000100110100010101010001100 -4.0
10001001111010110101011100101111101110101011011100 -4.0
01011000110000110101001110011000111110010100101011 -4.0
00101000011011010100001100101010110100101010000001 -4.0
00101011010011101100110010101110010011010000010000 -4.0
00011010101000110111011011101111101010100000111100 -4.0
11101010010101010001011100101111101100001010100000 -4.0
00000110101111010100111101010100101101100000011001 -4.0
10000001010010011101111100100000100110101010001100 -4.0
00100001011100111001111000100101111110100000011000 -4.0
10001000111000100111011110101111101110100001110100 -4.0
01001000010100110101001110000101111110010000101001 -4.0
00001100010110010001011101000100101101110000011001 -4.0
00000000010010011001111110001000100111110000011101 -4.0
10000001010010011101101100100000100110100000011100 -4.0
best: 2.0
11101010001101010011011011101111101010100000100100 -4.0
