Optimizing /h/ywang30/nofib/spectral/boyer2
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 3692568.0
0100000001001100000110001001000011010100010110010110001101,0100000001001100000110001001000011010100010110010110001101000000101101001110011010111001111000000110100011110100100001,0100000001001100000110001001000011,01000000010011000001100010010000110101000101100101100011010000001011010011100110101110,0 5032768.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
1010000010010010101001111001101110011000000011110111010111,1010000010010010101001111001101110011000000011110111010111010001000110100010110011110001001111000001010000110101000100,1010000010010010101001111001101110,10100000100100101010011110011011100110000000111101110101110100010001101000101100111100,1 4884544.0
0000100100110010011100011010010101011010011000000101000001,0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111,0000100100110010011100011010010101,00001001001100100111000110100101010110100110000001010000010001110010010110110001001000,0 4442896.0
1000000000001000000001001110011011100101101101100110110000,1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101,1000000000001000000001001110011011,10000000000010000000010011100110111001011011011001101100000100000110000100010001000010,1 7326800.0
1010000111110001010100010100110001001011110000001100100000,1010000111110001010100010100110001001011110000001100100000110111110000101110100110011100100000010100000000001111110001,1010000111110001010100010100110001,10100001111100010101000101001100010010111100000011001000001101111100001011101001100111,1 4943664.0
1110000010000000001010011111110111011011101011110000000101,1110000010000000001010011111110111011011101011110000000101100101000010110000000000011111010000000100011011011000100000,1110000010000000001010011111110111,11100000100000000010100111111101110110111010111100000001011001010000101100000000000111,1 4321192.0
1101100100101100000011110111000101101100100010101100111101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110,1101100100101100000011110111000101,11011001001011000000111101110001011011001000101011001111010011111100000100100011000101,1 5057088.0
0000100001110010100011100110110011000011100000101111000100,0000100001110010100011100110110011000011100000101111000100000000100101100101101110100001000101001101110110011110001100,0000100001110010100011100110110011,00001000011100101000111001101100110000111000001011110001000000001001011001011011101000,0 5234112.0
0111010101000100000110101111101000111000100110010001100001,0111010101000100000110101111101000111000100110010001100001000110010001000001111000101010111001010010101000110000000000,0111010101000100000110101111101000,01110101010001000001101011111010001110001001100100011000010001100100010000011110001010,0 3811888.0
1110110010000000110011101101001010001010000001110110000110,1110110010000000110011101101001010001010000001110110000110001011011000010100111000111110101010110100011001001001000011,1110110010000000110011101101001010,11101100100000001100111011010010100010100000011101100001100010110110000101001110001111,1 6636856.0
1011111000001000000001011010110100011100011001000000000101,1011111000001000000001011010110100011100011001000000000101001000010001001010000011011101100000100000111011111110000000,1011111000001000000001011010110100,10111110000010000000010110101101000111000110010000000001010010000100010010100000110111,1 4800008.0
0000111000001000010100001010101100010100100011101000000101,0000111000001000010100001010101100010100100011101000000101001111010111000011111110011001000100010100101110001100000000,0000111000001000010100001010101100,00001110000010000101000010101011000101001000111010000001010011110101110000111111100110,0 4310328.0
1101001000001001100000100010010101000010000010010101100100,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111,1101001000001001100000100010010101,11010010000010011000001000100101010000100000100101011001001101100001110001010010100010,1 3562272.0
0011000001100110110101111010110100110000001001000011100010,0011000001100110110101111010110100110000001001000011100010110011000100100001000001100010010110010010001100000101111101,0011000001100110110101111010110100,00110000011001101101011110101101001100000010010000111000101100110001001000010000011000,0 4442808.0
best: 0.9647139876638697
1100100000001000011100001011110110011101101011101000000101,1100100000001000011100001011110110011101101011101000000101000101010010100011111010011111000100010100011011011100000000,1100100000001000011100001011110110,11001000000010000111000010111101100111011010111010000001010001010100101000111110100111,1 4394832.0
1010111011101000010100011110110001001001100010001000100100,1010111011101000010100011110110001001001100010001000100100100111010000000111100110011001000100010100001110001110110001,1010111011101000010100011110110001,10101110111010000101000111101100010010011000100010001001001001110100000001111001100110,1 4720488.0
0000111001000010110110101110100000010110100001101110000100,0000111001000010110110101110100000010110100001101110000100001101110111100111111110101001000100011101110110001110000100,0000111001000010110110101110100000,00001110010000101101101011101000000101101000011011100001000011011101111001111111101010,0 6491880.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
1011000000010010100101111111101000011000000111010011000101,1011000000010010100101111111101000011000000111010011000101000110000100100000111010111001111111010010101000110101000000,1011000000010010100101111111101000,10110000000100101001011111111010000110000001110100110001010001100001001000001110101110,1 4391176.0
1010000010000000011000011100110111011011111011101000100101,1010000010000000011000011100110111011011111011101000100101110101110000101100000010011111100000000100001011011100100000,1010000010000000011000011100110111,10100000100000000110000111001101110110111110111010001001011101011100001011000000100111,1 5212712.0
1000100100111001010111000000111100010010100000101000000100,1000100100111001010111000000111100010010100000101000000100000011011010010011100110111010000100011100101010110000000000,1000100100111001010111000000111100,10001001001110010101110000001111000100101000001010000001000000110110100100111001101110,1 4481808.0
1111111000001000100001111010110101010000011011000100000101,1111111000001000100001111010110101010000011011000100000101010010010111000101000010011001100000001001110100110110000011,1111111000001000100001111010110101,11111110000010001000011110101101010100000110110001000001010100100101110001010000100110,1 4690504.0
0111001001001101000100100010101001000000100010010001100001,0111001001001101000100100010101001000000100010010001100001110110000111000001111010001010101101000111101000110000000101,0111001001001101000100100010101001,01110010010011010001001000101010010000001000100100011000011101100001110000011110100010,0 3620232.0
1001111011001111111100100111010101010000000011010101000000,1001111011001111111100100111010101010000000011010101000000010110000111100111001010100000000000101000100000000000010111,1001111011001111111100100111010101,10011110110011111111001001110101010100000000110101010000000101100001111001110010101000,1 3655960.0
1110010000011010111101011000001100011000000011111010000110,1110010000011010111101011000001100011000000011111010000110010111000110110010111011010101001010000011110000001001000001,1110010000011010111101011000001100,11100100000110101111010110000011000110000000111110100001100101110001101100101110110101,1 3799584.0
0001000001100100010110101110101000011010100111001110010001,0001000001100100010110101110101000011010100111001110010001000110010001010001111000101011111100101011001001110000001000,0001000001100100010110101110101000,00010000011001000101101011101010000110101001110011100100010001100100010100011110001010,0 5506704.0
0011011001100110111111101011001000010100101001000011110010,0011011001100110111111101011001000010100101001000011110010110011000100100001001001100010010100100011000101001101111100,0011011001100110111111101011001000,00110110011001101111111010110010000101001010010000111100101100110001001000010010011000,0 4841512.0
0001101001011010110111100110101011000011110001100010000100,0001101001011010110111100110101011000011110001100010000100000010100001110110101100100111000001011000011101001110001000,0001101001011010110111100110101011,00011010010110101101111001101010110000111100011000100001000000101000011101101011001001,0 4224672.0
0001111001000000000001011110011110011100001001100010100100,0001111001000000000001011110011110011100001001100010100100011010010100100011010011111101100010100100011101111110000100,0001111001000000000001011110011110,00011110010000000000010111100111100111000010011000101001000110100101001000110100111111,0 6204744.0
1101001000001001100000100010010101000010000010010101100100,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111,1101001000001001100000100010010101,11010010000010011000001000100101010000100000100101011001001101100001110001010010100010,1 3562272.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
0111010101000100000110101111101000111000100110010001100001,0111010101000100000110101111101000111000100110010001100001000110010001000001111000101010111001010010101000110000000000,0111010101000100000110101111101000,01110101010001000001101011111010001110001001100100011000010001100100010000011110001010,0 3811888.0
0000111000001000010100001010101100010100100011101000000101,0000111000001000010100001010101100010100100011101000000101001111010111000011111110011001000100010100101110001100000000,0000111000001000010100001010101100,00001110000010000101000010101011000101001000111010000001010011110101110000111111100110,0 4310328.0
1110000010000000001010011111110111011011101011110000000101,1110000010000000001010011111110111011011101011110000000101100101000010110000000000011111010000000100011011011000100000,1110000010000000001010011111110111,11100000100000000010100111111101110110111010111100000001011001010000101100000000000111,1 4321192.0
0011000001100110110101111010110100110000001001000011100010,0011000001100110110101111010110100110000001001000011100010110011000100100001000001100010010110010010001100000101111101,0011000001100110110101111010110100,00110000011001101101011110101101001100000010010000111000101100110001001000010000011000,0 4442808.0
0000100100110010011100011010010101011010011000000101000001,0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111,0000100100110010011100011010010101,00001001001100100111000110100101010110100110000001010000010001110010010110110001001000,0 4442896.0
best: 0.9647139876638697
1010010000010110010101010000111100011010000011001000001110,1010010000010110010101010000111100011010000011001000001110100111000110110010100011110010001100011001100010100011001001,1010010000010110010101010000111100,10100100000101100101010100001111000110100000110010000011101001110001101100101000111100,1 3653072.0
1110111100110101110001110010111100010000011010001000100100,1110111100110101110001110010111100010000011010001000100100010010010011110011000010110011100100011001010100110110001000,1110111100110101110001110010111100,11101111001101011100011100101111000100000110100010001001000100100100111100110000101100,1 4650904.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
