Optimizing /h/ywang30/nofib/spectral/cryptarithm2
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 2.8222408e7
01000000010011000001100010010000110101000101100101100011010 2.7899368e7
10101001001101110101110100001111000100100010000010001011001 2.7905344e7
10100000100100101010011110011011100110000000111101110101110 6.4101352e7
00001001001100100111000110100101010110100110000001010000010 2.7905368e7
10000000000010000000010011100110111001011011011001101100000 6.3708928e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
11100000100000000010100111111101110110111010111100000001011 6.3708928e7
11011001001011000000111101110001011011001000101011001111010 6.3708928e7
00001000011100101000111001101100110000111000001011110001000 6.373684e7
01110101010001000001101011111010001110001001100100011000010 2.850524e7
11101100100000001100111011010010100010100000011101100001100 6.5452976e7
10111110000010000000010110101101000111000110010000000001010 2.89898e7
00001110000010000101000010101011000101001000111010000001010 6.5088464e7
11010010000010011000001000100101010000100000100101011001001 2.8228408e7
00110000011001101101011110101101001100000010010000111000101 2.7905344e7
best: 0.9830432612270363
11001000000010000111000010111101100111011010111010000001010 6.2851784e7
11101001111010000000101101100100010010011000100011001011001 2.8060888e7
10000000001110000000010001100110110000011001001011111000000 6.3708928e7
10101001001101110101110100001111000100100010000010001011001 2.7905344e7
10110000000100101001011111111010000110000001110100110001010 2.7743848e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
00011000001010001101011010101111000100001000011000010000000 6.3344416e7
00111100000001101101011110101101001100000110010000100000110 2.8672736e7
01110010010011011001011100101101010000000000010100111000101 2.7905344e7
10011110110011111111001001110101010100000000110101010000000 2.8511216e7
00000100110001000100101010001000010101000101100110110111000 2.89898e7
11000100110100010001000101011100011010011100010100110100001 2.851124e7
00110110011001101111111010110010000101001010010000111100101 2.8631336e7
10010010001000000101010011100000111001011111001010111100000 6.2979904e7
00011110010000000000010111100111100111000010011000101001000 6.5452976e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
01000000010011000001100010010000110101000101100101100011010 2.7899368e7
10101001001101110101110100001111000100100010000010001011001 2.7905344e7
00110000011001101101011110101101001100000010010000111000101 2.7905344e7
00001001001100100111000110100101010110100110000001010000010 2.7905368e7
11010010000010011000001000100101010000100000100101011001001 2.8228408e7
01110101010001000001101011111010001110001001100100011000010 2.850524e7
best: 0.9830432612270363
01100000011011000101001010110001000101000111010101101010110 2.7899368e7
10101101001101111101011100101111001100000110000010101000100 2.8672736e7
01010000010011010001011000000001010100000100000101101000010 2.7905344e7
10100001111100000101011111001100001110000110000000011000101 2.7737848e7
11100101011101110001100101011100001110010000000010111011001 2.8511216e7
01000010010011011001000110000100110100000000010101101011000 2.7905344e7
01100100110011000101101000101000010101000001000110110100001 2.866676e7
01101001111110100011000111100100010110011100100011000001000 2.7743848e7
00110000000000101001011110111000000110000000010000111000011 2.7905368e7
00100000000001011001111111111100000110110000111101111000100 6.3007792e7
10011001011010101101010110001111011010000011010011001111101 2.7905368e7
10001010110010100111010000111011001111000101110101011000100 2.7863968e7
11110001001111110101010100011101001100111010000010011011101 2.7905344e7
10101000001100110101100101000101100100100010101111101101101 6.3007816e7
01111110100010000111100010111100100110011000101010000101010 6.5088464e7
10110000000100101001011111111010000110000001110100110001010 2.7743848e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
01000000010011000001100010010000110101000101100101100011010 2.7899368e7
10101001001101110101110100001111000100100010000010001011001 2.7905344e7
01110010010011011001011100101101010000000000010100111000101 2.7905344e7
00110000011001101101011110101101001100000010010000111000101 2.7905344e7
00001001001100100111000110100101010110100110000001010000010 2.7905368e7
best: 0.982830664201297
01110000010011010001011100000001010100000100010100111000001 2.7905344e7
10101001111010100011000000100001011111011100110011000000100 2.7863968e7
00110000000001101101011110111001000100000000010000111000111 2.7905344e7
10000010110011110101011000010011001100000101000101011000100 2.7905344e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
11100001111110010001000111001100010110111100100011000000001 2.7743848e7
10100001000101011001111110001101000100110000011011011010100 6.3372304e7
11111010000101111001001101101101100100000010011111101000101 6.3007792e7
01001001111110101101000110101100011010001101010011001001100 2.7905368e7
00001001101111111111000111100100010100011101100001011011010 2.7743824e7
10111000001101100101101101101110000110110010010010011011001 2.7743824e7
01100010000010001101011001100010000100000000010100111001101 2.7737848e7
10110001010100110110110111111011001110000011000101010001000 2.8066888e7
11000001010010110011110011111010111001000001100101110011010 2.7702448e7
01111011101101100011000011100100000111000110100011000001010 2.7702424e7
10100001111100000101011111001100001110000110000000011000101 2.7737848e7
01101001111110100011000111100100010110011100100011000001000 2.7743848e7
10110000000100101001011111111010000110000001110100110001010 2.7743848e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
10001010110010100111010000111011001111000101110101011000100 2.7863968e7
01100000011011000101001010110001000101000111010101101010110 2.7899368e7
01000000010011000001100010010000110101000101100101100011010 2.7899368e7
best: 0.9815754913613325
00001001100011111111000011100110010000010101100001011011010 2.7743824e7
00101001001111100111001111101100000110010001100011011011000 2.7743824e7
10101001001010100011000000100101000101001000011011101000100 6.3273888e7
10111000000101000101101110000010010101000100100001100011011 2.7899368e7
00111001111111100011000010100100010111001110110011000000100 2.7863944e7
00110000001101100101001010110100000110110011010110011011110 2.7905344e7
11100011101101100001000011001100010110110100000011000001011 2.7743824e7
11000001011010000111011111011100101110000111100100111011001 2.7737848e7
00001010100010100111010001101011000111000100110100011000101 2.7702448e7
10000011110010100111111101111011001111000101110101001100100 2.7702448e7
00100000110000011101100111000100010010101100000010101000011 2.7743848e7
11111000001101100001010101001110100100100000010010101111101 2.7743824e7
00111100000110100101000001101010100111100011100000010111110 2.851124e7
10100001101101010111100110001111011110111100000101000010001 2.7905344e7
01000011111010100011100101100010101001000101111101110010010 6.2909376e7
01111011101101100011000011100100000111000110100011000001010 2.7702424e7
11000001010010110011110011111010111001000001100101110011010 2.7702448e7
01100010000010001101011001100010000100000000010100111001101 2.7737848e7
10100001111100000101011111001100001110000110000000011000101 2.7737848e7
00001001101111111111000111100100010100011101100001011011010 2.7743824e7
10111000001101100101101101101110000110110010010010011011001 2.7743824e7
10100001111100010101000101001100010010111100000011001000001 2.7743848e7
best: 0.9815754913613325
11111000010111100001010011001010111001000000000001101111100 2.7743824e7
10100011110010001101111001111011001100000101010100111000100 2.7737848e7
11101011101101100011100011100100000111000110100111001101010 2.7702424e7
11010000010010100001110011111110110000100000100110100111111 2.7743848e7
00100001001001000101011110010100001110010111000100011011110 2.7899368e7
00101001101111110111001111100100010110010001100001011011010 2.7743824e7
10101000000101110111000011101110010100110100110000011011011 2.7743824e7
11100000000001001101011101001110000100000000010100101011101 2.7737848e7
01110000001111000101011000100010000110100000010110111001111 2.7899368e7
11001101000000110111000001101110110101010001110101001011111 2.846984e7
01101011001111110011000011110110101011000110110011000001100 2.7702424e7
10100101111110110001001111000111111110100110100101001011101 2.851124e7
10110010111100111011000101000100010110011110111011001100100 6.3007816e7
11101011001101000110100000111111101111111100000101000010001 2.8001048e7
01010011001100100011000110100100001111001101100010000000010 2.7863968e7
01111011101101100011000011100100000111000110100011000001010 2.7702424e7
00001010100010100111010001101011000111000100110100011000101 2.7702448e7
10000011110010100111111101111011001111000101110101001100100 2.7702448e7
11000001010010110011110011111010111001000001100101110011010 2.7702448e7
11000001011010000111011111011100101110000111100100111011001 2.7737848e7
01100010000010001101011001100010000100000000010100111001101 2.7737848e7
10100001111100000101011111001100001110000110000000011000101 2.7737848e7
best: 0.9815754913613325
00001010100010100111110001111011000011000100100101010011011 2.7702448e7
11000001010010110011110011111010111001000001100101110011010 2.7702448e7
01100000000011001101011001000110000100000000010100101001101 2.7737848e7
10000000100010100111011001111010000111000101100100011010101 2.7702448e7
11010001010010100011010111111100110010100010100110110111001 2.7743848e7
11111000010001100101011001001010110000000000010000101011101 2.7743824e7
11110000100001101101010111100110000111000100000011000001111 2.7743824e7
10111011101100100001011111100100000111000110000000000000011 2.7743848e7
11010011000100100011100011111010000111000000100111110001010 2.7702448e7
11110011101101100111100111101100000111010110010101011001010 2.7702424e7
01100011110101100011000000101100110111000101000101001001011 2.7863944e7
00001010101011100111000100011011000001001100011100110000101 6.3273864e7
10001011111011001001111101111010001111000101110001000110101 2.7737848e7
01110101001100101010100000100101000100001110100000000001110 2.89958e7
10010001110010011100111001110000001100011000000010101000100 2.8066888e7
11101011101101100011100011100100000111000110100111001101010 2.7702424e7
01101011001111110011000011110110101011000110110011000001100 2.7702424e7
01111011101101100011000011100100000111000110100011000001010 2.7702424e7
00001010100010100111010001101011000111000100110100011000101 2.7702448e7
10000011110010100111111101111011001111000101110101001100100 2.7702448e7
11000001010010110011110011111010111001000001100101110011010 2.7702448e7
10100011110010001101111001111011001100000101010100111000100 2.7737848e7
best: 0.9815754913613325
00000010000100100011000011101011000111000100110110011001110 2.7702448e7
11010011110000101111011111111111000111000100010011000100110 2.7702448e7
00101010100011100111011001001010000101000000010100101001101 2.7702424e7
11001010101010100011110011101011000111000100100110011001101 2.7702448e7
11101011101101100011000011100100000111000110100111001001010 2.7702424e7
11101001000101100001001001001110010010000010100110001111001 2.7743824e7
01101001001101110111001011011110111010000010010010101011101 2.7743824e7
