Optimizing /h/ywang30/nofib/spectral/cse
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 1251888.0
0100000001001100000110001001000011010100010110010110001101000000101101001110011010111001111000000110100011110100100001100110000100111000100101100,010000000100110000011000100100001101010001011001011000110100000010110100111 1236696.0
1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000100100000111100101001110001,101010010011011101011101000011110001001000100000100010110010001100101011001 1227552.0
1010000010010010101001111001101110011000000011110111010111010001000110100010110011110001001111000001010000110101000100111001000100011000011010100,101000001001001010100111100110111001100000001111011101011101000100011010001 1244120.0
0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111000100110001101000001101010,000010010011001001110001101001010101101001100000010100000100011100100101101 1224224.0
1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101010010011010100000000001100,100000000000100000000100111001101110010110110110011011000001000001100001000 1249520.0
1010000111110001010100010100110001001011110000001100100000110111110000101110100110011100100000010100000000001111110001001001110010101000010011100,101000011111000101010001010011000100101111000000110010000011011111000010111 1226304.0
1110000010000000001010011111110111011011101011110000000101100101000010110000000000011111010000000100011011011000100000111100001011110101111100010,111000001000000000101001111111011101101110101111000000010110010100001011000 1230640.0
1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011,110110010010110000001111011100010110110010001010110011110100111111000001001 1225336.0
0000100001110010100011100110110011000011100000101111000100000000100101100101101110100001000101001101110110011110001100000111010001000100110100111,000010000111001010001110011011001100001110000010111100010000000010010110010 1246312.0
0111010101000100000110101111101000111000100110010001100001000110010001000001111000101010111001010010101000110000000000000010000001001111011011100,011101010100010000011010111110100011100010011001000110000100011001000100000 1225752.0
1110110010000000110011101101001010001010000001110110000110001011011000010100111000111110101010110100011001001001000011101010001010001000001100111,111011001000000011001110110100101000101000000111011000011000101101100001010 1226640.0
1011111000001000000001011010110100011100011001000000000101001000010001001010000011011101100000100000111011111110000000010011000110011000110001011,101111100000100000000101101011010001110001100100000000010100100001000100101 1258192.0
0000111000001000010100001010101100010100100011101000000101001111010111000011111110011001000100010100101110001100000000001101011000011100010111010,000011100000100001010000101010110001010010001110100000010100111101011100001 1239816.0
1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111100111000010010001000010111,110100100000100110000010001001010100001000001001010110010011011000011100010 1236840.0
0011000001100110110101111010110100110000001001000011100010110011000100100001000001100010010110010010001100000101111101110110000000001011000000000,001100000110011011010111101011010011000000100100001110001011001100010010000 1252728.0
best: 0.9779021765525351
1100100000001000011100001011110110011101101011101000000101000101010010100011111010011111000100010100011011011100000000001101011000010101110100010,110010000000100001110000101111011001110110101110100000010100010101001010001 1224128.0
1110100111101000000010110110010001001001100010001100101100100111110000010110100110010101010000010100010000001111110011010101110000111000010111001,111010011110100000001011011001000100100110001000110010110010011111000001011 1225120.0
0000111001000010110110101110100000010110100001101110000100001101110111100111111110101001000100011101110110001110000100001101011001000100110101111,000011100100001011011010111010000001011010000110111000010000110111011110011 1236576.0
1011100101010111000111100010111000110000000010001000100001000111000010110000001000110010110001011001100010110000000000100100000011000111001011000,101110010101011100011110001011100011000000001000100010000100011100001011000 1226672.0
1101110000100000100011101111000100001110000011111110010101001111011000010010101100010110011011110110010001000011100111000010100000001010010110011,110111000010000010001110111100010000111000001111111001010100111101100001001 1228488.0
1111000101110101000111010111000001101100100000001100110000100111110000010010101100010100010011010100010000000111110101001101110010000010010010000,111100010111010100011101011100000110110010000000110011000010011111000001001 1225632.0
1010100110110001010011000101111000001010000000101110000110000011011000010110100000111110101100111100011001110000000001101000000011100000001100011,101010011011000101001100010111100000101000000010111000011000001101100001011 1228560.0
1111001010001000100001111011100111010000000011110101010101010011000110000101110010010001001101001001010100110100000111101111000100011001001010111,111100101000100010000111101110011101000000001111010101010101001100011000010 1244728.0
0111001001001101000100100010101001000000100010010001100001110110000111000001111010001010101101000111101000110000000101000110000011011001011011100,011100100100110100010010001010100100000010001001000110000111011000011100000 1230872.0
1001111011001111111100100111010101010000000011010101000000010110000111100111001010100000000000101000100000000000010111101101001010110010000011011,100111101100111111110010011101010101000000001101010100000001011000011110011 1230424.0
0000010011000100010010101000100001010100010110011011011100000110101101011110010010011101111101000100000011001000100100110110000100111011101100100,000001001100010001001010100010000101010001011001101101110000011010110101111 1250136.0
0001000001100100010110101110101000011010100111001110010001000110010001010001111000101011111100101011001001110000001000000110100001001111011111100,000100000110010001011010111010100001101010011100111001000100011001000101000 1251040.0
1110101010000000111001111100110110101110100001110110010110001011011000010100110000111110101000000101010000000001000010110010101110100010001100111,111010101000000011100111110011011010111010000111011001011000101101100001010 1226160.0
0001101001011010110111100110101011000011110001100010000100000010100001110110101100100111000001011000011101001110001000001111001011000100110011000,000110100101101011011110011010101100001111000110001000010000001010000111011 1243048.0
0010000001000000000001001010110001100101111101000100010001000010011101111000010100101010011011101001101110000000001001010010011100100010010101001,001000000100000000000100101011000110010111110100010001000100001001110111100 1258712.0
0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111000100110001101000001101010,000010010011001001110001101001010101101001100000010100000100011100100101101 1224224.0
1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011,110110010010110000001111011100010110110010001010110011110100111111000001001 1225336.0
0111010101000100000110101111101000111000100110010001100001000110010001000001111000101010111001010010101000110000000000000010000001001111011011100,011101010100010000011010111110100011100010011001000110000100011001000100000 1225752.0
1010000111110001010100010100110001001011110000001100100000110111110000101110100110011100100000010100000000001111110001001001110010101000010011100,101000011111000101010001010011000100101111000000110010000011011111000010111 1226304.0
1110110010000000110011101101001010001010000001110110000110001011011000010100111000111110101010110100011001001001000011101010001010001000001100111,111011001000000011001110110100101000101000000111011000011000101101100001010 1226640.0
1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000100100000111100101001110001,101010010011011101011101000011110001001000100000100010110010001100101011001 1227552.0
1110000010000000001010011111110111011011101011110000000101100101000010110000000000011111010000000100011011011000100000111100001011110101111100010,111000001000000000101001111111011101101110101111000000010110010100001011000 1230640.0
best: 0.9778254923763148
1110000101101001011100001101110001011101100000101000100001000111010010100011111010011111100100010100011010001101110001001101010010100001010100100,111000010110100101110000110111000101110110000010100010000100011101001010001 1225536.0
1001111101010111100110100110111000010010000000101010100101001101010011110001001110110011100001011101110110000100000000000100000001000100011111011,100111110101011110011010011011100001001000000010101010010100110101001111000 1225768.0
1101100100011101000111110010000001100000100010101100100001001111010000110000001000110111110011010010010001000001000010100101010011000111010110010,110110010001110100011111001000000110000010001010110010000100111101000011000 1225784.0
0010101100010010011001111010010100101110110000010100010110000111001000011010110000101010101100000001011000010101010111010110100110100010001101111,001010110001001001100111101001010010111011000001010001011000011100100001101 1223936.0
0010110101000100110110101110100000010010100000010110100000001100110001000011111100101001001001010001111110111000000100000000011001001111111111110,001011010100010011011010111010000001001010000001011010000000110011000100001 1232200.0
0101101100101101000101100010001101000000100010011100101101001110000100010010011100011010010001000111101001000001000111000110110011011001011111101,010110110010110100010110001000110100000010001001110010110100111000010001001 1225560.0
1100100000001000011100001011110110011101101011101000000101000101010010100011111010011111000100010100011011011100000000001101011000010101110100010,110010000000100001110000101111011001110110101110100000010100010101001010001 1224128.0
1100100000001000110010101011101110001001101011101000000111000011011010110011111000111111100110010100011001011101000010101110001010000101100100111,110010000000100011001010101110111000100110101110100000011100001101101011001 1226064.0
1010000111110001010100010100110001001011110000001100100000110111110000101110100110011100100000010100000000001111110001001001110010101000010011100,101000011111000101010001010011000100101111000000110010000011011111000010111 1226304.0
0101100000011111011110001011101110011110101111001100100010001111111000110011111100000101100101010000010011101101001010001101001000010101010111010,010110000001111101111000101110111001111010111100110010001000111111100011001 1225536.0
0100010100011001100100100111101001000010100011010101110011000010010001101001111000011110111001100101100001100100000010011010000111000101000000100,010001010001100110010010011110100100001010001101010111001100001001000110100 1226768.0
1011110110110100110010100001000001100110010100101110100100000010011101010000111001111110111100011110101100010001000101001000000010100000111100111,101111011011010011001010000100000110011001010010111010010000001001110101000 1229664.0
1011010010001000110001101100000010101011100001110111000100000111011000010101000000101010100111010101011010001100100001011010011000001000001100101,101101001000100011000110110000001010101110000111011100010000011101100001010 1247168.0
0111010001000000000111101011000010111000100100100111111011000110010101100001101010101011001001010010101100111000100000000011000101000010111011000,011101000100000000011110101100001011100010010010011111101100011001010110000 1232640.0
0111111010001000011110001011110010011001100010101000010101001101111000000011111110011111101110010000000111011100000100110101111001010111110100110,011111101000100001111000101111001001100110001010100001010100110111100000001 1257896.0
1100100000001000011100001011110110011101101011101000000101000101010010100011111010011111000100010100011011011100000000001101011000010101110100010,110010000000100001110000101111011001110110101110100000010100010101001010001 1224128.0
0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111000100110001101000001101010,000010010011001001110001101001010101101001100000010100000100011100100101101 1224224.0
1110100111101000000010110110010001001001100010001100101100100111110000010110100110010101010000010100010000001111110011010101110000111000010111001,111010011110100000001011011001000100100110001000110010110010011111000001011 1225120.0
