Optimizing /h/ywang30/nofib/spectral/eliza
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 697800.0
01000000010011000001100010010000110101000101100101100011010000001011010011100110101110011110000001101000111101001000011001100001001110001 697120.0
10101001001101110101110100001111000100100010000010001011001000110010101100100000001100101001000110010000101100100010001001000001111001010 718440.0
10100000100100101010011110011011100110000000111101110101110100010001101000101100111100010011110000010100001101010001001110010001000110000 790360.0
00001001001100100111000110100101010110100110000001010000010001110010010110110001001000110011000000011010010101001101110001001100011010000 797440.0
10000000000010000000010011100110111001011011011001101100000100000110000100010001000010100110011011010010000000000011010100100110101000000 670280.0
10100001111100010101000101001100010010111100000011001000001101111100001011101001100111001000000101000000000011111100010010011100101010000 642208.0
11100000100000000010100111111101110110111010111100000001011001010000101100000000000111110100000001000110110110001000001111000010111101011 672576.0
11011001001011000000111101110001011011001000101011001111010011111100000100100011000101110100110101100100010001111011100101111100000101110 636456.0
00001000011100101000111001101100110000111000001011110001000000001001011001011011101000010001010011011101100111100011000001110100010001001 770280.0
01110101010001000001101011111010001110001001100100011000010001100100010000011110001010101110010100101010001100000000000000100000010011110 755136.0
11101100100000001100111011010010100010100000011101100001100010110110000101001110001111101010101101000110010010010000111010100010100010000 700760.0
10111110000010000000010110101101000111000110010000000001010010000100010010100000110111011000001000001110111111100000000100110001100110001 693488.0
00001110000010000101000010101011000101001000111010000001010011110101110000111111100110010001000101001011100011000000000011010110000111000 654144.0
11010010000010011000001000100101010000100000100101011001001101100001110001010010100010100001000011010001001000000101111001110000100100010 811904.0
00110000011001101101011110101101001100000010010000111000101100110001001000010000011000100101100100100011000001011111011101100000000010110 821520.0
best: 0.9120894239036973
11001000000010000111000010111101100111011010111010000001010001010100101000111110100111110001000101000110110111000000000011010110000101011 671184.0
11101001111010000000101101100100010010011000100011001011001001111100000101101001100101010100000101000100000011111100110101011100001110000 643376.0
10000110000010000101000011100010000101001001011011101000000011010100110000111111000010000001000111011010000011000001000111000110001001000 647088.0
00001100001010000101000110001011000101101010011010000011001000110110110000111101001110000001000100000011100010100010000011010001001011010 667480.0
11011100001000001000111011110001000011100000111111100101010011110110000100101011000101100110111101100100010000111001110000101000000010100 685712.0
11110001011101010001110101110000011011001000000011001100001001111100000100101011000101000100110101000100000001111101010011011100100000100 636328.0
10001001001110010101110000001111000100101000001010000001000000110110100100111001101110100001000111001010101100000000001011010000011001000 674608.0
11111110000010001000011110101101010100000110110001000001010100100101110001010000100110011000000010011101001101100000110001110001100110010 714360.0
00110110010011000001000010101010000110001010100000001000010011100100010010001100110010001010011000101010111100000000000000100000110110001 660784.0
11110010110011100111010111111101000011100110000000001000011010000100011010000000111101111001000001010111110111100000000110010011101110111 694320.0
00000100110001000100101010001000010101000101100110110111000001101011010111100100100111011111010001000000110010001001001101100001001110111 791864.0
11000100110100010001000101011100011010011100010100110100001101111100001111101001100111011001011011011000010011111110010011010100101010000 759416.0
11101010100000001110011111001101101011101000011101100101100010110110000101001100001111101010000001010100000000010000101100101011101000100 662168.0
10010010001000000101010011100000111001011111001010111100000100100111000000100001100011000111011110001000110100000010010110100000001000000 755488.0
00100000010000000000010010101100011001011111010001000100010000100111011110000101001010100110111010011011100000000010010100100111001000100 674416.0
11011001001011000000111101110001011011001000101011001111010011111100000100100011000101110100110101100100010001111011100101111100000101110 636456.0
10100001111100010101000101001100010010111100000011001000001101111100001011101001100111001000000101000000000011111100010010011100101010000 642208.0
00001110000010000101000010101011000101001000111010000001010011110101110000111111100110010001000101001011100011000000000011010110000111000 654144.0
10000000000010000000010011100110111001011011011001101100000100000110000100010001000010100110011011010010000000000011010100100110101000000 670280.0
11100000100000000010100111111101110110111010111100000001011001010000101100000000000111110100000001000110110110001000001111000010111101011 672576.0
10111110000010000000010110101101000111000110010000000001010010000100010010100000110111011000001000001110111111100000000100110001100110001 693488.0
01000000010011000001100010010000110101000101100101100011010000001011010011100110101110011110000001101000111101001000011001100001001110001 697120.0
best: 0.9119059902550875
10000000100100000001000101101100110000111110010001001000001100011110001111100001000011000110001101000000000010100001010110111110101010000 691248.0
00001110001010000101000011101011000101001011011010100000000011010100110000111101001110000001000111000010000011100010000111010001001001000 665296.0
00110101110001000001000110001100010010011110100001001000001101100100000011001100100011001010001100000010000000010000000000110100111110000 664048.0
11111011000011000010011111100001001011101000101101000101100011111100000100101100000111101100110101000100000001010011100101111001101101100 652952.0
00000110000010000101000011101010000101001001011011100001000011010101110000111111100110000001000101011010000011000001000011010110000111000 652360.0
00100111011101000101000000001010000010111010100011001000011101100100000011101101100110001000011001001010100000010100000010001100110110001 667312.0
10100000010010000101000010101101100111001010110010000000010001000100101000011110100011001011011001001010110111000000000001110100100101001 670776.0
11101001111010000010100111100100010110011000101011000001001001011000000101101001000111110100000001000110100011101100011111001010111110000 651704.0
00110100000010000000010010100110011000011010100000101000000000000110010000011100010010001010011000000010001100000000000100100110100100001 688928.0
01011000000111110111100010111011100111101011110011001000100011111110001100111111000001011001010100000100111011010010100011010010000101010 657208.0
00111110010101011101100000101011011011101001101011000101110010110101111010111111101011010001001000111001110110000000100101010111100101100 638144.0
10011101001111001101101001000001011111101101001010001001100000100111110101011111111110100101001111100111110100010001000011010000001001001 650624.0
01010100001000000101100110011001001101110010011010010011101011110110110000100011001011000010011100010011010011111010101111010101101011010 788488.0
00001111000011000101010011100001100101001000010111100111110011110100111000111011000110001101000101001010100001001000000011000111000100011 669224.0
01111110100010000111100010111100100110011000101010000101010011011110000000111111100111111011100100000001110111000001001101011110010101111 639120.0
11110001011101010001110101110000011011001000000011001100001001111100000100101011000101000100110101000100000001111101010011011100100000100 636328.0
11011001001011000000111101110001011011001000101011001111010011111100000100100011000101110100110101100100010001111011100101111100000101110 636456.0
10100001111100010101000101001100010010111100000011001000001101111100001011101001100111001000000101000000000011111100010010011100101010000 642208.0
11101001111010000000101101100100010010011000100011001011001001111100000101101001100101010100000101000100000011111100110101011100001110000 643376.0
10000110000010000101000011100010000101001001011011101000000011010100110000111111000010000001000111011010000011000001000111000110001001000 647088.0
00001110000010000101000010101011000101001000111010000001010011110101110000111111100110010001000101001011100011000000000011010110000111000 654144.0
00110110010011000001000010101010000110001010100000001000010011100100010010001100110010001010011000101010111100000000000000100000110110001 660784.0
best: 0.9119059902550875
01111100110010000001100010001100100010011110101000000101010001111110000001111101100111001010101100000011110100010001000101110110010111001 663184.0
10001110000110001101000001000011001111001001001010001001100000100111110001011111101110100001001111100011110111010001000011010010001001001 654696.0
00101110000010000111000011111110100100011001001011000001010011011100110000111111100111011011000100000010010111000001000011010110010101000 676960.0
10110101000011001101100110001000011110101111100000001001100101100111010111001110110111001010001101000110100000010001000011110000001101001 668544.0
11011001001011000000111101110001011011001000101011001111010011111100000100100011000101110100110101100100010001111011100101111100000101110 636456.0
10001110001011000100010011100001000111001001001011001001010011111100110000100011000001100101110101111000000001100001000101011100001001100 639984.0
01111110100010000111100010111100100110011000101010000101010011011110000000111111100111111011100100000001110111000001001101011110010101111 639120.0
00101110100010000101000010100010100110011001011010100000010011010100100000111111100010011011100100010010110011000001001101000110000101111 651408.0
11101111111000011101100000101000011011001001101011000001111011110001000110111001000111010101000001101100110011000000000101000010100100100 644744.0
01011110000100000001100000101011011001101000101001011111100010100101001110110101001000000001001000011000111110001001100111110100100111010 734432.0
11111000111010010000110100000101010000001000110011011011001101101100000100111010100101010000010101010111010001011000111101011101001101000 764104.0
10010110010011010001000110101101010001001001011011101001000011111000110000111110000011001001000111001011001111001101000111010001000000100 642440.0
11110000001101001110011101110001010011001010110010101100011011110101000100110100000100000100100100011101000011111010110011011111100001100 654568.0
00100000111101100111010100100110011110111000000011011000001000110100000011101011101100101001001001100100000001111101011010101101101010000 739224.0
11111011101001000010100011100100000111000010101011000001011000011011110001111101010111011000000001101110100011101100011001111100101100000 699472.0
11110001011101010001110101110000011011001000000011001100001001111100000100101011000101000100110101000100000001111101010011011100100000100 636328.0
11011001001011000000111101110001011011001000101011001111010011111100000100100011000101110100110101100100010001111011100101111100000101110 636456.0
00111110010101011101100000101011011011101001101011000101110010110101111010111111101011010001001000111001110110000000100101010111100101100 638144.0
01111110100010000111100010111100100110011000101010000101010011011110000000111111100111111011100100000001110111000001001101011110010101111 639120.0
10100001111100010101000101001100010010111100000011001000001101111100001011101001100111001000000101000000000011111100010010011100101010000 642208.0
11101001111010000000101101100100010010011000100011001011001001111100000101101001100101010100000101000100000011111100110101011100001110000 643376.0
10000110000010000101000011100010000101001001011011101000000011010100110000111111000010000001000111011010000011000001000111000110001001000 647088.0
best: 0.9119059902550875
10110100000011001111100010001000001110101101100010001001010011011111000100111110110111111011000101000010110100010001001111010110010101111 647744.0
01011100000011000000101110100100110010001010101010000101010011111100000000101111100101001110101101000010110000010001100101110100000111110 664936.0
00101110100110001101000011100011000111011001001010100000010011010101100000011111101110000011000101110011110111010001001111010110000001011 654288.0
00101110000010000101000011100010100101001001011011101000000011010100100000111111000010010011100110010010000011000001001111000110000001010 649480.0
11101101111010011000101101101000011010001001101011000011001001111000000111111001100111010101000101100100100011110000100101000000101100000 644576.0
01111011100011000011111010111001000111001000101011001111010011111110000100110111100111111001110100000001010001110011000101111110010101111 634936.0
