Optimizing /h/ywang30/nofib/imaginary/kahan
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 1308840.0
0100000001001100000110 1308840.0
1010100100110111010111 1308840.0
1010000010010010101001 1308840.0
0000100100110010011100 1308840.0
1000000000001000000001 1308840.0
1010000111110001010100 1308840.0
1110000010000000001010 1308840.0
1101100100101100000011 1308840.0
0000100001110010100011 1308840.0
0111010101000100000110 1308840.0
1110110010000000110011 1308840.0
1011111000001000000001 1308840.0
0000111000001000010100 1308840.0
1101001000001001100000 1308840.0
0011000001100110110101 1308840.0
best: 1.0
0000100000111000010101 1308840.0
1010111011101000010100 1308840.0
0000100001110010100011 1308840.0
0000110000101000010100 1308840.0
1011000000010010100101 1308840.0
1111000000000100001011 1308840.0
0011100010100000110001 1308840.0
1111111000001000100001 1308840.0
0111001001001101100101 1308840.0
1111001011001110011101 1308840.0
0000010011000100010010 1308840.0
0001000001100100010110 1308840.0
0011011001100110111111 1308840.0
0001101001011010110111 1308840.0
0001111001000000000001 1308840.0
0100000001001100000110 1308840.0
1010100100110111010111 1308840.0
1010000010010010101001 1308840.0
0000100100110010011100 1308840.0
1000000000001000000001 1308840.0
1010000111110001010100 1308840.0
1110000010000000001010 1308840.0
best: 1.0
1000100100110110010101 1308840.0
0111111001000000100001 1308840.0
0001100001000111100101 1308840.0
1010011111110000011111 1308840.0
1010100011010010101001 1308840.0
0111101000001101100101 1308840.0
0000100000111000010101 1308840.0
1010111011101000010000 1308840.0
0000100100110010011100 1308840.0
0010000000000101100111 1308840.0
1001000011001111001011 1308840.0
1110011011001011111100 1308840.0
1101100000000000000011 1308840.0
0011100110100100110000 1308840.0
1011111010111000010111 1308840.0
0000100000111000010101 1308840.0
1010111011101000010100 1308840.0
0000100001110010100011 1308840.0
0000110000101000010100 1308840.0
1011000000010010100101 1308840.0
1111000000000100001011 1308840.0
0011100010100000110001 1308840.0
best: 1.0
0011000000110010011101 1308840.0
0011000000000010100101 1308840.0
1010100010110010100001 1308840.0
1000100100000111010101 1308840.0
1010001010100011010101 1308840.0
1011100000110000000100 1308840.0
0010000000000001100111 1308840.0
0011100110000000100100 1308840.0
1000000011101011001000 1308840.0
1111000010001010111011 1308840.0
0001110100101001010101 1308840.0
1011100010010111111001 1308840.0
0000100001110011100010 1308840.0
1000100101110101101010 1308840.0
1011110010100100010000 1308840.0
1000100100110110010101 1308840.0
0111111001000000100001 1308840.0
0001100001000111100101 1308840.0
1010011111110000011111 1308840.0
1010100011010010101001 1308840.0
0111101000001101100101 1308840.0
0000100000111000010101 1308840.0
best: 1.0
1000110100110110011101 1308840.0
1001000000001001011111 1308840.0
0010100110000111010100 1308840.0
0001100000101000010101 1308840.0
1000000000100011000101 1308840.0
0011010100001001110111 1308840.0
1010100110100000100000 1308840.0
1000100100110110111000 1308840.0
0000100100000111010101 1308840.0
0011100100110010011111 1308840.0
0010001110010011110111 1308840.0
0100100001110011110001 1308840.0
1001100100000101010111 1308840.0
1010011110110100010101 1308840.0
0000101111010100101011 1308840.0
0011000000110010011101 1308840.0
0011000000000010100101 1308840.0
1010100010110010100001 1308840.0
1000100100000111010101 1308840.0
1010001010100011010101 1308840.0
1011100000110000000100 1308840.0
0010000000000001100111 1308840.0
best: 1.0
0100100000111011010101 1308840.0
0011100100110000000111 1308840.0
1010000000110010011101 1308840.0
1010000000110111010001 1308840.0
0010100100011010110110 1308840.0
1001000010001001010101 1308840.0
1010100000110100001100 1308840.0
0100100010110010100001 1308840.0
0010111110010100101111 1308840.0
0100100110111010111101 1308840.0
0010000010111011011101 1308840.0
1000110100001100000100 1308840.0
0000101100101010101101 1308840.0
0110001100000110010000 1308840.0
0001100010110110011101 1308840.0
1000110100110110011101 1308840.0
1001000000001001011111 1308840.0
0010100110000111010100 1308840.0
0001100000101000010101 1308840.0
1000000000100011000101 1308840.0
0011010100001001110111 1308840.0
1010100110100000100000 1308840.0
best: 1.0
1001000000001001010101 1308840.0
1011100000100000010100 1308840.0
0100100000111011100001 1308840.0
1001000000001001010111 1308840.0
1000000000110011010101 1308840.0
0000100100110010100011 1308840.0
0011101100011101101111 1308840.0
1011100100101000110100 1308840.0
0010100100110000011111 1308840.0
1001100000100011010101 1308840.0
1100000111011010111111 1308840.0
1001000000101101011110 1308840.0
0100000010010100011001 1308840.0
1000001110110010111011 1308840.0
0000101100110001000011 1308840.0
0100100000111011010101 1308840.0
0011100100110000000111 1308840.0
1010000000110010011101 1308840.0
1010000000110111010001 1308840.0
0010100100011010110110 1308840.0
1001000010001001010101 1308840.0
1010100000110100001100 1308840.0
best: 1.0
1010100000101011010000 1308840.0
0011100100011001110110 1308840.0
1001000000111111010100 1308840.0
1010000000110110110011 1308840.0
0110000000111011010101 1308840.0
0100100000110010110111 1308840.0
0011100100110010100111 1308840.0
1010000100110010010111 1308840.0
0011101100101001100111 1308840.0
1010110010110010100011 1308840.0
1000101100110000000100 1308840.0
0001000011001000110101 1308840.0
1001000000111001111111 1308840.0
0100101100100111100001 1308840.0
0100100111011011010111 1308840.0
1001000000001001010101 1308840.0
1011100000100000010100 1308840.0
0100100000111011100001 1308840.0
1001000000001001010111 1308840.0
1000000000110011010101 1308840.0
0000100100110010100011 1308840.0
0011101100011101101111 1308840.0
best: 1.0
0101100111011001010101 1308840.0
1010001100101001000111 1308840.0
0001100100011001111111 1308840.0
0001100111011001110111 1308840.0
0100000000111011010100 1308840.0
1011100100101001101111 1308840.0
1001100100101000000111 1308840.0
0110000100111001110111 1308840.0
0100100011001011010111 1308840.0
1000000010101111010100 1308840.0
1011101100110101101011 1308840.0
1000101100111001011100 1308840.0
0011101001101010010000 1308840.0
0111100100001101111110 1308840.0
1010101011010010100101 1308840.0
1010100000101011010000 1308840.0
0011100100011001110110 1308840.0
1001000000111111010100 1308840.0
1010000000110110110011 1308840.0
0110000000111011010101 1308840.0
0100100000110010110111 1308840.0
0011100100110010100111 1308840.0
best: 1.0
0111100101101101010100 1308840.0
0111100100110010100111 1308840.0
1011101001000010010001 1308840.0
1011100000111001011101 1308840.0
1001100100100001000111 1308840.0
1000100011001011010100 1308840.0
1011100100111101101011 1308840.0
1001100100101001000111 1308840.0
0000100100111001111100 1308840.0
1000101011000010000000 1308840.0
0010000111011010000011 1308840.0
0000101001111010000100 1308840.0
0000100011110110100000 1308840.0
0011000101101000101110 1308840.0
0000001011101110110010 1308840.0
0101100111011001010101 1308840.0
1010001100101001000111 1308840.0
0001100100011001111111 1308840.0
0001100111011001110111 1308840.0
0100000000111011010100 1308840.0
1011100100101001101111 1308840.0
1001100100101000000111 1308840.0
best: 1.0
0000101011100110100000 1308840.0
0100000101011001010101 1308840.0
0010001011101110110000 1308840.0
1011000100101000000111 1308840.0
1011100000111001011101 1308840.0
1001100011001000010000 1308840.0
0010000101011001010111 1308840.0
0001000000101110110110 1308840.0
1000100101001011110101 1308840.0
1001110100111000100011 1308840.0
1011100100100010010010 1308840.0
0011100100101000001111 1308840.0
0100000010101010000111 1308840.0
1000111111100110000010 1308840.0
1001100001010001010111 1308840.0
0111100101101101010100 1308840.0
0111100100110010100111 1308840.0
1011101001000010010001 1308840.0
1011100000111001011101 1308840.0
1001100100100001000111 1308840.0
1000100011001011010100 1308840.0
1011100100111101101011 1308840.0
best: 1.0
1000100000000011010111 1308840.0
1010000100101011010111 1308840.0
1000100011001100100000 1308840.0
0010000001000000010101 1308840.0
1011100001111001011111 1308840.0
1001100000100011011001 1308840.0
1011101001000010010011 1308840.0
0001000000101010000111 1308840.0
1011100100111000001101 1308840.0
0111100010001010010001 1308840.0
0011110010000001010101 1308840.0
0100001101010001100111 1308840.0
0010001101010011000111 1308840.0
1001100110000000100111 1308840.0
0001101010110010100111 1308840.0
0000101011100110100000 1308840.0
0100000101011001010101 1308840.0
0010001011101110110000 1308840.0
1011000100101000000111 1308840.0
1011100000111001011101 1308840.0
1001100011001000010000 1308840.0
0010000101011001010111 1308840.0
best: 1.0
1011001101000000000111 1308840.0
0010000100101001010111 1308840.0
1011100011111100100000 1308840.0
1001100010110011111111 1308840.0
0000000101011000010101 1308840.0
1001100010000001000101 1308840.0
0001100001100010000111 1308840.0
1010100000011000010101 1308840.0
1011101000000010010011 1308840.0
0011001101010001000111 1308840.0
1001101010010010010010 1308840.0
0011110010010111111101 1308840.0
0001000001000000010101 1308840.0
0100001100110000011011 1308840.0
0010101001000010110111 1308840.0
1000100000000011010111 1308840.0
1010000100101011010111 1308840.0
1000100011001100100000 1308840.0
0010000001000000010101 1308840.0
1011100001111001011111 1308840.0
1001100000100011011001 1308840.0
1011101001000010010011 1308840.0
best: 1.0
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
3516.13user 594.98system 1:31:28elapsed 74%CPU (0avgtext+0avgdata 134832maxresident)k
1090264inputs+1739384outputs (650major+68945953minor)pagefaults 0swaps
