Optimizing /h/ywang30/nofib/spectral/minimax
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 6533208.0
010000000100110000011000100100001101010001011001011000110100000010110100111001101011100111100000011010001111010010000110011000010011100010010110010,010000000100110000011000100100001101010001011001011000110100000010110100111001101011100111100000011010001111010010,01,010,010000000100110000,010000000 7.3122656e7
101010010011011101011101000011110001001000100000100010110010001100101011001000000011001010010001100100001011001000100010010000011110010100111000100,101010010011011101011101000011110001001000100000100010110010001100101011001000000011001010010001100100001011001000,10,101,101010010011011101,101010010 9.0966576e7
101000001001001010100111100110111001100000001111011101011101000100011010001011001111000100111100000101000011010100010011100100010001100001101010010,101000001001001010100111100110111001100000001111011101011101000100011010001011001111000100111100000101000011010100,10,101,101000001001001010,101000001 8.9163464e7
000010010011001001110001101001010101101001100000010100000100011100100101101100010010001100110000000110100101010011011100010011000110100000110101001,000010010011001001110001101001010101101001100000010100000100011100100101101100010010001100110000000110100101010011,00,000,000010010011001001,000010010 6637776.0
100000000000100000000100111001101110010110110110011011000001000001100001000100010000101001100110110100100000000000110101001001101010000000000110010,100000000000100000000100111001101110010110110110011011000001000001100001000100010000101001100110110100100000000000,10,100,100000000000100000,100000000 6542440.0
101000011111000101010001010011000100101111000000110010000011011111000010111010011001110010000001010000000000111111000100100111001010100001001110001,101000011111000101010001010011000100101111000000110010000011011111000010111010011001110010000001010000000000111111,10,101,101000011111000101,101000011 7.4571912e7
111000001000000000101001111111011101101110101111000000010110010100001011000000000001111101000000010001101101100010000011110000101111010111110001011,111000001000000000101001111111011101101110101111000000010110010100001011000000000001111101000000010001101101100010,11,111,111000001000000000,111000001 7.4971912e7
110110010010110000001111011100010110110010001010110011110100111111000001001000110001011101001101011001000100011110111001011111000001011101011001110,110110010010110000001111011100010110110010001010110011110100111111000001001000110001011101001101011001000100011110,11,110,110110010010110000,110110010 7.5785592e7
000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000110000011101000100010011010011110,000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000,00,000,000010000111001010,000010000 6530985.0
011101010100010000011010111110100011100010011001000110000100011001000100000111100010101011100101001010100011000000000000001000000100111101101110010,011101010100010000011010111110100011100010011001000110000100011001000100000111100010101011100101001010100011000000,01,011,011101010100010000,011101010 2.3163496e7
111011001000000011001110110100101000101000000111011000011000101101100001010011100011111010101011010001100100100100001110101000101000100000110011100,111011001000000011001110110100101000101000000111011000011000101101100001010011100011111010101011010001100100100100,11,111,111011001000000011,111011001 7.4971048e7
101111100000100000000101101011010001110001100100000000010100100001000100101000001101110110000010000011101111111000000001001100011001100011000101111,101111100000100000000101101011010001110001100100000000010100100001000100101000001101110110000010000011101111111000,10,101,101111100000100000,101111100 7.325536e7
000011100000100001010000101010110001010010001110100000010100111101011100001111111001100100010001010010111000110000000000110101100001110001011101000,000011100000100001010000101010110001010010001110100000010100111101011100001111111001100100010001010010111000110000,00,000,000011100000100001,000011100 7.3294072e7
110100100000100110000010001001010100001000001001010110010011011000011100010100101000101000010000110100010010000001011110011100001001000100001011100,110100100000100110000010001001010100001000001001010110010011011000011100010100101000101000010000110100010010000001,11,110,110100100000100110,110100100 2.657752e7
001100000110011011010111101011010011000000100100001110001011001100010010000100000110001001011001001000110000010111110111011000000000101100000000011,001100000110011011010111101011010011000000100100001110001011001100010010000100000110001001011001001000110000010111,00,001,001100000110011011,001100000 6643064.0
best: 0.9996597383704912
000010000011100001010100101011001000010110001110101000010000000011011110001111111000000100010101110011111001111000100000111101100001010011010011010,000010000011100001010100101011001000010110001110101000010000000011011110001111111000000100010101110011111001111000,00,000,000010000011100001,000010000 2.3643184e7
000011100100110001010000101110000101010010011001001000010100000100110100011101101011100100010001011010111110010010000110111100010011100001011100010,000011100100110001010000101110000101010010011001001000010100000100110100011101101011100100010001011010111110010010,00,000,000011100100110001,000011100 7.3120976e7
000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000110000011101000100010011010011110,000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000,00,000,000010000111001010,000010000 6531024.0
000111000100100000010010101010100011010010001110100000000100011101001100000111110011100001000101000010111000100000000000110100000000111101001101000,000111000100100000010010101010100011010010001110100000000100011101001100000111110011100001000101000010111000100000,00,000,000111000100100000,000111000 7.4931808e7
111101000000000010011110111100100001101000011101001100010100111001100001000011100011101011101111001010100110000100000100001000000100101001101010100,111101000000000010011110111100100001101000011101001100010100111001100001000011100011101011101111001010100110000100,11,111,111101000000000010,111101000 7.3082704e7
101000011111000101010001010011000100101111000000110010000011011111000010111010011001110010000001010000000000111111000100100111001010100001001110001,101000011111000101010001010011000100101111000000110010000011011111000010111010011001110010000001010000000000111111,10,101,101000011111000101,101000011 7.4571912e7
000110000010100011010110101011110001000010000110000100000000001101011000000110011010101001011001011010111000010101000010111100000000111000011101011,000110000010100011010110101011110001000010000110000100000000001101011000000110011010101001011001011010111000010101,00,000,000110000010100011,000110000 6605264.0
001111000000011011010111101011010011000001100100001000001101001001010110000100000111100111001001000011110001011110000101011100011001101100000000011,001111000000011011010111101011010011000001100100001000001101001001010110000100000111100111001001000011110001011110,00,001,001111000000011011,001111000 7.4557304e7
011100100100110110010111001011010100000000000101001110001011001100011000000100101000001000010000011100110000010011110111011000001001100100000010000,011100100100110110010111001011010100000000000101001110001011001100011000000100101000001000010000011100110000010011,01,011,011100100100110110,011100100 6558000.0
100111101100111111110010011101010101000000001101010100000001011000011110011100101010000000000010100010000000000001011110110100101011001000001101100,100111101100111111110010011101010101000000001101010100000001011000011110011100101010000000000010100010000000000001,10,100,100111101100111111,100111101 2.3638744e7
000001001100010001001010100010000101010001011001101101110000011010110101111001001001110111110100010000001100100010010011011000010011101110110010000,000001001100010001001010100010000101010001011001101101110000011010110101111001001001110111110100010000001100100010,00,000,000001001100010001,000001001 7.4932288e7
000100000110010001011010111010100001101010011100111001000100011001000101000111100010101111110010101100100111000000100000011010000100111101111110010,000100000110010001011010111010100001101010011100111001000100011001000101000111100010101111110010101100100111000000,00,000,000100000110010001,000100000 2.6973192e7
001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111110010111010010010000100000000011,001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111,00,001,001101100110011011,001101100 6505288.0
000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000100000111100101100010011001100010,000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000,00,000,000110100101101011,000110100 6434032.0
001000000100000000000100101011000110010111110100010001000100001001110111100001010010101001101110100110111000000000100101001001110010001001010100110,001000000100000000000100101011000110010111110100010001000100001001110111100001010010101001101110100110111000000000,00,001,001000000100000000,001000000 6542440.0
000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000110000011101000100010011010011110,000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000,00,000,000010000111001010,000010000 6531024.0
100000000000100000000100111001101110010110110110011011000001000001100001000100010000101001100110110100100000000000110101001001101010000000000110010,100000000000100000000100111001101110010110110110011011000001000001100001000100010000101001100110110100100000000000,10,100,100000000000100000,100000000 6542440.0
000010010011001001110001101001010101101001100000010100000100011100100101101100010010001100110000000110100101010011011100010011000110100000110101001,000010010011001001110001101001010101101001100000010100000100011100100101101100010010001100110000000110100101010011,00,000,000010010011001001,000010010 6637776.0
001100000110011011010111101011010011000000100100001110001011001100010010000100000110001001011001001000110000010111110111011000000000101100000000011,001100000110011011010111101011010011000000100100001110001011001100010010000100000110001001011001001000110000010111,00,001,001100000110011011,001100000 6643064.0
011101010100010000011010111110100011100010011001000110000100011001000100000111100010101011100101001010100011000000000000001000000100111101101110010,011101010100010000011010111110100011100010011001000110000100011001000100000111100010101011100101001010100011000000,01,011,011101010100010000,011101010 2.3163496e7
110100100000100110000010001001010100001000001001010110010011011000011100010100101000101000010000110100010010000001011110011100001001000100001011100,110100100000100110000010001001010100001000001001010110010011011000011100010100101000101000010000110100010010000001,11,110,110100100000100110,110100100 2.657752e7
010000000100110000011000100100001101010001011001011000110100000010110100111001101011100111100000011010001111010010000110011000010011100010010110010,010000000100110000011000100100001101010001011001011000110100000010110100111001101011100111100000011010001111010010,01,010,010000000100110000,010000000 7.3122656e7
best: 0.9848197087862501
101000000110100001000110101001110010010110110110011011001001001000010000000100010100001001000100100100110000010111110111001000000000001000000100011,101000000110100001000110101001110010010110110110011011001001001000010000000100010100001001000100100100110000010111,10,101,101000000110100001,101000000 6637408.0
000000000100001010001110111011000100011110100110011001010100000000010111100101011010101100001100110111111001010000100100001001110010010001010001110,000000000100001010001110111011000100011110100110011001010100000000010111100101011010101100001100110111111001010000,00,000,000000000100001010,000000000 6542592.0
000110000100011110010110001011010100000110000010011110000000000100010100010110101000000100010100110111111001010011110111011101001001110111010011010,000110000100011110010110001011010100000110000010011110000000000100010100010110101000000100010100110111111001010011,00,000,000110000100011110,000110000 6544304.0
