Optimizing /h/ywang30/nofib/real/pic
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 3498648.0
01000000010011000,01000,01000000,01000,0100000001001100000110001001000011010,,0100000001001100000110001001000011010100010110010110001101,010000000100110000011000100100001101010001011001011,010000000100110000011000100100001101010001011 3598016.0
10101001001101110,10101,10101001,10101,1010100100110111010111010000111100010,,1010100100110111010111010000111100010010001000001000101100,101010010011011101011101000011110001001000100000100,101010010011011101011101000011110001001000100 6997296.0
10100000100100101,10100,10100000,10100,1010000010010010101001111001101110011,,1010000010010010101001111001101110011000000011110111010111,101000001001001010100111100110111001100000001111011,101000001001001010100111100110111001100000001 3203232.0
00001001001100100,00001,00001001,00001,0000100100110010011100011010010101011,,0000100100110010011100011010010101011010011000000101000001,000010010011001001110001101001010101101001100000010,000010010011001001110001101001010101101001100 6997296.0
10000000000010000,10000,10000000,10000,1000000000001000000001001110011011100,,1000000000001000000001001110011011100101101101100110110000,100000000000100000000100111001101110010110110110011,100000000000100000000100111001101110010110110 3350224.0
10100001111100010,10100,10100001,10100,1010000111110001010100010100110001001,,1010000111110001010100010100110001001011110000001100100000,101000011111000101010001010011000100101111000000110,101000011111000101010001010011000100101111000 6997296.0
11100000100000000,11100,11100000,11100,1110000010000000001010011111110111011,,1110000010000000001010011111110111011011101011110000000101,111000001000000000101001111111011101101110101111000,111000001000000000101001111111011101101110101 3952888.0
11011001001011000,11011,11011001,11011,1101100100101100000011110111000101101,,1101100100101100000011110111000101101100100010101100111101,110110010010110000001111011100010110110010001010110,110110010010110000001111011100010110110010001 5573856.0
00001000011100101,00001,00001000,00001,0000100001110010100011100110110011000,,0000100001110010100011100110110011000011100000101111000100,000010000111001010001110011011001100001110000010111,000010000111001010001110011011001100001110000 3863344.0
01110101010001000,01110,01110101,01110,0111010101000100000110101111101000111,,0111010101000100000110101111101000111000100110010001100001,011101010100010000011010111110100011100010011001000,011101010100010000011010111110100011100010011 4316528.0
11101100100000001,11101,11101100,11101,1110110010000000110011101101001010001,,1110110010000000110011101101001010001010000001110110000110,111011001000000011001110110100101000101000000111011,111011001000000011001110110100101000101000000 6997296.0
10111110000010000,10111,10111110,10111,1011111000001000000001011010110100011,,1011111000001000000001011010110100011100011001000000000101,101111100000100000000101101011010001110001100100000,101111100000100000000101101011010001110001100 4112128.0
00001110000010000,00001,00001110,00001,0000111000001000010100001010101100010,,0000111000001000010100001010101100010100100011101000000101,000011100000100001010000101010110001010010001110100,000011100000100001010000101010110001010010001 6997296.0
11010010000010011,11010,11010010,11010,1101001000001001100000100010010101000,,1101001000001001100000100010010101000010000010010101100100,110100100000100110000010001001010100001000001001010,110100100000100110000010001001010100001000001 4415472.0
00110000011001101,00110,00110000,00110,0011000001100110110101111010110100110,,0011000001100110110101111010110100110000001001000011100010,001100000110011011010111101011010011000000100100001,001100000110011011010111101011010011000000100 6997296.0
best: 0.9155628116918306
00001000001110000,00001,00001000,00001,0000100000111000010101001010110010000,,0000100000111000010101001010110010000101100011101010000100,000010000011100001010100101011001000010110001110101,000010000011100001010100101011001000010110001 6997296.0
01001001010011000,01001,01001001,01001,0100100101001100000010100011000001010,,0100100101001100000010100011000001010100100110010110001101,010010010100110000001010001100000101010010011001011,010010010100110000001010001100000101010010011 5538368.0
10000000001110000,10000,10000000,10000,1000000000111000000001000110011011000,,1000000000111000000001000110011011000001100100101111100000,100000000011100000000100011001101100000110010010111,100000000011100000000100011001101100000110010 3552800.0
00011100010010000,00011,00011100,00011,0001110001001000000100101010101000110,,0001110001001000000100101010101000110100100011101000000001,000111000100100000010010101010100011010010001110100,000111000100100000010010101010100011010010001 4452392.0
10110000000100101,10110,10110000,10110,1011000000010010100101111111101000011,,1011000000010010100101111111101000011000000111010011000101,101100000001001010010111111110100001100000011101001,101100000001001010010111111110100001100000011 3289008.0
11110000000001000,11110,11110000,11110,1111000000000100001011011111000111111,,1111000000000100001011011111000111111100101011101000110101,111100000000010000101101111100011111110010101110100,111100000000010000101101111100011111110010101 4771232.0
00111000101000001,00111,00111000,00111,0011100010100000110001101111111000001,,0011100010100000110001101111111000001000000001100111000010,001110001010000011000110111111100000100000000110011,001110001010000011000110111111100000100000000 6997296.0
11110010100010001,11110,11110010,11110,1111001010001000100001111011100111010,,1111001010001000100001111011100111010000000011110101010101,111100101000100010000111101110011101000000001111010,111100101000100010000111101110011101000000001 4205152.0
00110110010011000,00110,00110110,00110,0011011001001100000100001010101000011,,0011011001001100000100001010101000011000101010000000100001,001101100100110000010000101010100001100010101000000,001101100100110000010000101010100001100010101 3478688.0
11110010110011100,11110,11110010,11110,1111001011001110011101011111110100001,,1111001011001110011101011111110100001110011000000000100001,111100101100111001110101111111010000111001100000000,111100101100111001110101111111010000111001100 6997296.0
11100100000110101,11100,11100100,11100,1110010000011010111101011000001100011,,1110010000011010111101011000001100011000000011111010000110,111001000001101011110101100000110001100000001111101,111001000001101011110101100000110001100000001 6997296.0
00010000011001000,00010,00010000,00010,0001000001100100010110101110101000011,,0001000001100100010110101110101000011010100111001110010001,000100000110010001011010111010100001101010011100111,000100000110010001011010111010100001101010011 6997296.0
00110110011001101,00110,00110110,00110,0011011001100110111111101011001000010,,0011011001100110111111101011001000010100101001000011110010,001101100110011011111110101100100001010010100100001,001101100110011011111110101100100001010010100 6997296.0
10010010001000000,10010,10010010,10010,1001001000100000010101001110000011100,,1001001000100000010101001110000011100101111100101011110000,100100100010000001010100111000001110010111110010101,100100100010000001010100111000001110010111110 6997296.0
00100000010000000,00100,00100000,00100,0010000001000000000001001010110001100,,0010000001000000000001001010110001100101111101000100010001,001000000100000000000100101011000110010111110100010,001000000100000000000100101011000110010111110 3266528.0
10100000100100101,10100,10100000,10100,1010000010010010101001111001101110011,,1010000010010010101001111001101110011000000011110111010111,101000001001001010100111100110111001100000001111011,101000001001001010100111100110111001100000001 3203232.0
10000000000010000,10000,10000000,10000,1000000000001000000001001110011011100,,1000000000001000000001001110011011100101101101100110110000,100000000000100000000100111001101110010110110110011,100000000000100000000100111001101110010110110 3350224.0
01000000010011000,01000,01000000,01000,0100000001001100000110001001000011010,,0100000001001100000110001001000011010100010110010110001101,010000000100110000011000100100001101010001011001011,010000000100110000011000100100001101010001011 3598016.0
00001000011100101,00001,00001000,00001,0000100001110010100011100110110011000,,0000100001110010100011100110110011000011100000101111000100,000010000111001010001110011011001100001110000010111,000010000111001010001110011011001100001110000 3863344.0
11100000100000000,11100,11100000,11100,1110000010000000001010011111110111011,,1110000010000000001010011111110111011011101011110000000101,111000001000000000101001111111011101101110101111000,111000001000000000101001111111011101101110101 3952888.0
10111110000010000,10111,10111110,10111,1011111000001000000001011010110100011,,1011111000001000000001011010110100011100011001000000000101,101111100000100000000101101011010001110001100100000,101111100000100000000101101011010001110001100 4112128.0
01110101010001000,01110,01110101,01110,0111010101000100000110101111101000111,,0111010101000100000110101111101000111000100110010001100001,011101010100010000011010111110100011100010011001000,011101010100010000011010111110100011100010011 4316528.0
best: 0.9155628116918306
10001000011010000,10001,10001000,10001,1000100001101000000011101110011011100,,1000100001101000000011101110011011100101100100101110010100,100010000110100000001110111001101110010110010010111,100010000110100000001110111001101110010110010 4408360.0
00000000010000000,00000,00000000,00000,0000000001000000000001001110110001000,,0000000001000000000001001110110001000101101101100110010001,000000000100000000000100111011000100010110110110011,000000000100000000000100111011000100010110110 3036976.0
00010100000011000,00010,00010100,00010,0001010000001100000100001010011001101,,0001010000001100000100001010011001101001101011100110100000,000101000000110000010000101001100110100110101110011,000101000000110000010000101001100110100110101 3154000.0
10001000111100101,10001,10001000,10001,1000100011110010100011100000101111001,,1000100011110010100011100000101111001011100011101111000100,100010001111001010001110000010111100101110001110111,100010001111001010001110000010111100101110001 3989168.0
00000000000011000,00000,00000000,00000,0000000000001100000111001100001011010,,0000000000001100000111001100001011010101010100010111001100,000000000000110000011100110000101101010101010001011,000000000000110000011100110000101101010101010 3432144.0
00000110000011000,00000,00000110,00000,0000011000001100000101001010001010001,,0000011000001100000101001010001010001001101010000100100001,000001100000110000010100101000101000100110101000010,000001100000110000010100101000101000100110101 3284152.0
00100000010010000,00100,00100000,00100,0010000001001000010101001010110010000,,0010000001001000010101001010110010000100101011001000000001,001000000100100001010100101011001000010010101100100,001000000100100001010100101011001000010010101 6997296.0
11001001010010000,11001,11001001,11001,1100100101001000001010001011010001010,,1100100101001000001010001011010001010000100010110110000101,110010010100100000101000101101000101000010001011011,110010010100100000101000101101000101000010001 6579856.0
00110100000000001,00110,00110100,00110,0011010000000000100101101011101000011,,0011010000000000100101101011101000011000100010000011100001,001101000000000010010110101110100001100010001000001,001101000000000010010110101110100001100010001 3045272.0
00100000000001011,00100,00100000,00100,0010000000000101100111111111110000011,,0010000000000101100111111111110000011011000011110111100010,001000000000010110011111111111000001101100001111011,001000000000010110011111111111000001101100001 3519600.0
00010000000111011,00010,00010000,00010,0001000000011101100011000010110000011,,0001000000011101100011000010110000011111111000000000000011,000100000001110110001100001011000001111111100000000,000100000001110110001100001011000001111111100 3603424.0
