Optimizing /h/ywang30/nofib/spectral/pretty
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 145616.0
01000000010011000001100010010000110101000101100101100011010000001011,0100,0100000001001100000110001001000011010100010110010110001101000000101101001110011010111001111000000110100011110100100001100110000100111000100101100100101100 183024.0
10101001001101110101110100001111000100100010000010001011001000110010,1010,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000100100000111100101001110001000110111 291232.0
10100000100100101010011110011011100110000000111101110101110100010001,1010,1010000010010010101001111001101110011000000011110111010111010001000110100010110011110001001111000001010000110101000100111001000100011000011010100100101101 291232.0
00001001001100100111000110100101010110100110000001010000010001110010,0000,0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111000100110001101000001101010011100010 198488.0
10000000000010000000010011100110111001011011011001101100000100000110,1000,1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101010010011010100000000001100100110001 178856.0
10100001111100010101000101001100010010111100000011001000001101111100,1010,1010000111110001010100010100110001001011110000001100100000110111110000101110100110011100100000010100000000001111110001001001110010101000010011100010001001 291232.0
11100000100000000010100111111101110110111010111100000001011001010000,1110,1110000010000000001010011111110111011011101011110000000101100101000010110000000000011111010000000100011011011000100000111100001011110101111100010110101110 291232.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
00001000011100101000111001101100110000111000001011110001000000001001,0000,0000100001110010100011100110110011000011100000101111000100000000100101100101101110100001000101001101110110011110001100000111010001000100110100111100010101 185064.0
01110101010001000001101011111010001110001001100100011000010001100100,0111,0111010101000100000110101111101000111000100110010001100001000110010001000001111000101010111001010010101000110000000000000010000001001111011011100100001100 291232.0
11101100100000001100111011010010100010100000011101100001100010110110,1110,1110110010000000110011101101001010001010000001110110000110001011011000010100111000111110101010110100011001001001000011101010001010001000001100111000101110 291232.0
10111110000010000000010110101101000111000110010000000001010010000100,1011,1011111000001000000001011010110100011100011001000000000101001000010001001010000011011101100000100000111011111110000000010011000110011000110001011110001001 291232.0
00001110000010000101000010101011000101001000111010000001010011110101,0000,0000111000001000010100001010101100010100100011101000000101001111010111000011111110011001000100010100101110001100000000001101011000011100010111010001000001 195688.0
11010010000010011000001000100101010000100000100101011001001101100001,1101,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111100111000010010001000010111001010101 198488.0
00110000011001101101011110101101001100000010010000111000101100110001,0011,0011000001100110110101111010110100110000001001000011100010110011000100100001000001100010010110010010001100000101111101110110000000001011000000000111101101 291232.0
best: 1.1937149763762225
00001000001110000101010010101100100001011000111010100001000000001101,0000,0000100000111000010101001010110010000101100011101010000100000000110111100011111110000001000101011100111110011110001000001111011000010100110100110101000101 182112.0
01001001010011000000101000110000010101001001100101100011010000011011,0100,0100100101001100000010100011000001010100100110010110001101000001101101010110011010110101010000010110110001100101100011110111000100111000010111001100111100 182376.0
10000000001110000000010001100110110000011001001011111000000000000000,1000,1000000000111000000001000110011011000001100100101111100000000000000001000001101100000000000101001101101000011100001100010110010000100100000100100100010001 196368.0
00001100001010000101000110001011000101101010011010000011001000110110,0000,0000110000101000010100011000101100010110101001101000001100100011011011000011110100111000000100010000001110001010001000001101000100101101010110011001000101 182768.0
10011000001100101000011111111001000011000000111111100101010001110001,1001,1001100000110010100001111111100100001100000011111110010101000111000100100010101110010101011111010110010000010111100110010011100000011010010110010100111100 182064.0
11110000000001000010110111110001111111001010111010001101011001011100,1111,1111000000000100001011011111000111111100101011101000110101100101110000010000001000010111010011000100011011010100100100111101111010010111110100010100101110 291232.0
00011000001010001101011010101111000100001000011000010000000000110101,0001,0001100000101000110101101010111100010000100001100001000000000011010110000001100110101010010110010110101110000101010000101111000000001110000111010111001101 192032.0
11111110000010001000011110101101010100000110110001000001010100100101,1111,1111111000001000100001111010110101010000011011000100000101010010010111000101000010011001100000001001110100110110000011000111000110011001000010011110000001 291232.0
01110010010011011001011100101101010000000000010100111000101100110001,0111,0111001001001101100101110010110101000000000001010011100010110011000110000001001010000010000100000111001100000100111101110110000010011001000000100001000101 291232.0
10011110110011111111001001110101010100000000110101010000000101100001,1001,1001111011001111111100100111010101010000000011010101000000010110000111100111001010100000000000101000100000000000010111101101001010110010000011011001010001 182728.0
00000100110001000100101010001000010101000101100110110111000001101011,0000,0000010011000100010010101000100001010100010110011011011100000110101101011110010010011101111101000100000011001000100100110110000100111011101100100000001100 182368.0
00010000011001000101101011101010000110101001110011100100010001100100,0001,0001000001100100010110101110101000011010100111001110010001000110010001010001111000101011111100101011001001110000001000000110100001001111011111100100001101 187784.0
00110110011001101111111010110010000101001010010000111100101100110001,0011,0011011001100110111111101011001000010100101001000011110010110011000100100001001001100010010100100011000101001101111100101110100100100001000000000111101100 291232.0
10010010001000000101010011100000111001011111001010111100000100100111,1001,1001001000100000010101001110000011100101111100101011110000010010011100000010000110001100011101111000100011010000001001011010000000100000000110011100110001 195296.0
00100000010000000000010010101100011001011111010001000100010000100111,0010,0010000001000000000001001010110001100101111101000100010001000010011101111000010100101010011011101001101110000000001001010010011100100010010101001100010001 291232.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
10000000000010000000010011100110111001011011011001101100000100000110,1000,1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101010010011010100000000001100100110001 178856.0
01000000010011000001100010010000110101000101100101100011010000001011,0100,0100000001001100000110001001000011010100010110010110001101000000101101001110011010111001111000000110100011110100100001100110000100111000100101100100101100 183024.0
00001000011100101000111001101100110000111000001011110001000000001001,0000,0000100001110010100011100110110011000011100000101111000100000000100101100101101110100001000101001101110110011110001100000111010001000100110100111100010101 185064.0
00001110000010000101000010101011000101001000111010000001010011110101,0000,0000111000001000010100001010101100010100100011101000000101001111010111000011111110011001000100010100101110001100000000001101011000011100010111010001000001 195688.0
00001001001100100111000110100101010110100110000001010000010001110010,0000,0000100100110010011100011010010101011010011000000101000001000111001001011011000100100011001100000001101001010100110111000100110001101000001101010011100010 198488.0
11010010000010011000001000100101010000100000100101011001001101100001,1101,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111100111000010010001000010111001010101 198488.0
best: 1.1937149763762225
10000100010010000100111010000110011001011001101011100101000101100011,1000,1000010001001000010011101000011001100101100110101110010100010110001101010001000110011010111001001101001001000000101100110010000100110010101001100000111100 178144.0
00001000001010000100010011101011000101011011011010100000000000000000,0000,0000100000101000010001001110101100010101101101101010000000000000000011000011110100111000000100011100001000011110001000011111000100100100000110000001010101 184208.0
00000100001010000101000010100111011001111010011011100011000100010110,0000,0000010000101000010100001010011101100111101001101110001100010001011000000011010100111010000101001001001000001010001000001000011000101001000001001101110001 196136.0
11011001011011000000111001100001010010111000101011010001000011111100,1101,1101100101101100000011100110000101001011100010101101000100001111110001010011101110010111010011011100110100000110001100000111110001010100110100111100011100 179600.0
00010000010001000101100011000010110111100101100101100011010000100001,0001,0001000001000100010110001100001011011110010110010110001101000010000101011100011010111011111000000111000001110100001001100110100101111000010101100100101100 202248.0
01000010000011011001010110100100110000010000010101101000000100010011,0100,0100001000001101100101011010010011000001000001010110100000010001001100010001000100000010011000001101001100000100101101110110011010011000000000100100100101 182584.0
00001000001110000101010010101100100001011000111010100001000000001101,0000,0000100000111000010101001010110010000101100011101010000100000000110111100011111110000001000101011100111110011110001000001111011000010100110100110101000101 182112.0
10011000001010000101010010101000111001011101111010101001000100101111,1001,1001100000101000010101001010100011100101110111101010100100010010111110100011101110001101010101011000110010010110001000001110000000100100100100011100110101 182272.0
00001000001100101000111001111001100010001000001011100001010001111001,0000,0000100000110010100011100111100110001000100000101110000101000111100101100100101110000101000101011111010000010110001100010011100000001110110110011100110101 185672.0
00001000001001011000111111111111000011110001110110101100100011011011,0000,0000100000100101100011111111111100001111000111011010110010001101101110110010101000001111111110010010011000100110101100010011110000011010110101010000011110 179712.0
01110000000100011001000000010000101011100100110100100111110001001011,0111,0111000000010001100100000001000010101110010011010010011111000100101101100110011010001101111000110001101010100000100011111110000010110010111110100000110000 291232.0
10001010110010100111010000111011001111000101110101011000100101110000,1000,1000101011001010011101000011101100111100010111010101100010010111000010100001010011100000010000001010010101100001010011001101001011110010110011111011000001 204368.0
01010100001000000101100110011001001101110010011010010011101011110110,0101,0101010000100000010110011001100100110111001001101001001110101111011011000010001100101100001001110001001101001111101010111101010110101101010110001110000101 200624.0
01000001010010000001110011011010010101000101001000000101110000001010,0100,0100000101001000000111001101101001010100010100100000010111000000101001101110001000111000001000000110100111111100000001100111000000110101000101000100001100 180728.0
10111110101110000101110010101101100000011010101010100101000010000111,1011,1011111010111000010111001010110110000001101010101010010100001000011101000011111010000001101111011000100010011110001100110111111001010110110100010100100101 291232.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
