warning: dubious run time results for queens: [0.61,0.6,0.59,0.76,0.54]
warning: dubious run time results for queens: [0.61,0.6,0.59,0.76,0.54]
Optimizing /h/ywang30/nofib/imaginary/queens
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 1.15741488e8
01000000010011000 1.15741488e8
10101001001101110 1.15741488e8
10100000100100101 1.15741488e8
00001001001100100 1.15741488e8
10000000000010000 1.15741488e8
10100001111100010 1.15741488e8
11100000100000000 1.15741488e8
11011001001011000 1.15741488e8
00001000011100101 1.15741488e8
01110101010001000 1.15741488e8
11101100100000001 1.15741488e8
10111110000010000 1.15741488e8
00001110000010000 1.15741488e8
11010010000010011 1.15741488e8
00110000011001101 1.15741488e8
best: 1.0
00001000001110000 1.15741488e8
10101110111010000 1.15741488e8
00001000011100101 1.15741488e8
00001100001010000 1.15741488e8
10110000000100101 1.15741488e8
11110000000001000 1.15741488e8
00111000101000001 1.15741488e8
11111110000010001 1.15741488e8
01110010010011011 1.15741488e8
11110010110011100 1.15741488e8
00000100110001000 1.15741488e8
00010000011001000 1.15741488e8
00110110011001101 1.15741488e8
00011010010110101 1.15741488e8
00011110010000000 1.15741488e8
01000000010011000 1.15741488e8
10101001001101110 1.15741488e8
10100000100100101 1.15741488e8
00001001001100100 1.15741488e8
10000000000010000 1.15741488e8
10100001111100010 1.15741488e8
11100000100000000 1.15741488e8
best: 1.0
10001001001101100 1.15741488e8
01111110010000001 1.15741488e8
00011000010001111 1.15741488e8
10100111111100000 1.15741488e8
10101000110100101 1.15741488e8
01111010000011011 1.15741488e8
00001000001110000 1.15741488e8
10101110111010000 1.15741488e8
00001001001100100 1.15741488e8
00100000000001011 1.15741488e8
10010000110011110 1.15741488e8
11100110110010111 1.15741488e8
11011000000000000 1.15741488e8
00111001101001001 1.15741488e8
10111110101110000 1.15741488e8
00001000001110000 1.15741488e8
10101110111010000 1.15741488e8
00001000011100101 1.15741488e8
00001100001010000 1.15741488e8
10110000000100101 1.15741488e8
11110000000001000 1.15741488e8
00111000101000001 1.15741488e8
best: 1.0
00110000001100100 1.15741488e8
00110000000000101 1.15741488e8
10101000101100101 1.15741488e8
10001001000001110 1.15741488e8
10100010101000110 1.15741488e8
10111000001100000 1.15741488e8
00100000000000011 1.15741488e8
00111001100000001 1.15741488e8
10000000111010110 1.15741488e8
11110000100010101 1.15741488e8
00011101001010010 1.15741488e8
10111000100101111 1.15741488e8
00001000011100111 1.15741488e8
10001001011101011 1.15741488e8
10111100101001000 1.15741488e8
10001001001101100 1.15741488e8
01111110010000001 1.15741488e8
00011000010001111 1.15741488e8
10100111111100000 1.15741488e8
10101000110100101 1.15741488e8
01111010000011011 1.15741488e8
00001000001110000 1.15741488e8
best: 1.0
10001101001101100 1.15741488e8
10010000000010010 1.15741488e8
00101001100001110 1.15741488e8
00011000001010000 1.15741488e8
10000000001000110 1.15741488e8
00110101000010011 1.15741488e8
10101001101000001 1.15741488e8
10001001001101101 1.15741488e8
00001001000001110 1.15741488e8
00111001001100100 1.15741488e8
00100011100100111 1.15741488e8
01001000011100111 1.15741488e8
10011001000001010 1.15741488e8
10100111101101000 1.15741488e8
00001011110101001 1.15741488e8
00110000001100100 1.15741488e8
00110000000000101 1.15741488e8
10101000101100101 1.15741488e8
10001001000001110 1.15741488e8
10100010101000110 1.15741488e8
10111000001100000 1.15741488e8
00100000000000011 1.15741488e8
best: 1.0
01001000001110110 1.15741488e8
00111001001100000 1.15741488e8
10100000001100100 1.15741488e8
10100000001101110 1.15741488e8
00101001000110101 1.15741488e8
10010000100010010 1.15741488e8
10101000001101000 1.15741488e8
01001000101100101 1.15741488e8
00101111100101001 1.15741488e8
01001001101110101 1.15741488e8
00100000101110110 1.15741488e8
10001101000011000 1.15741488e8
00001011001010101 1.15741488e8
01100011000001100 1.15741488e8
00011000101101100 1.15741488e8
10001101001101100 1.15741488e8
10010000000010010 1.15741488e8
00101001100001110 1.15741488e8
00011000001010000 1.15741488e8
10000000001000110 1.15741488e8
00110101000010011 1.15741488e8
10101001101000001 1.15741488e8
best: 1.0
10010000000010010 1.15741488e8
10111000001000000 1.15741488e8
01001000001110111 1.15741488e8
10010000000010010 1.15741488e8
10000000001100110 1.15741488e8
00001001001100101 1.15741488e8
00111011000111011 1.15741488e8
10111001001010001 1.15741488e8
00101001001100000 1.15741488e8
10011000001000110 1.15741488e8
11000001110110101 1.15741488e8
10010000001011010 1.15741488e8
01000000100101000 1.15741488e8
10000011101100101 1.15741488e8
00001011001100010 1.15741488e8
01001000001110110 1.15741488e8
00111001001100000 1.15741488e8
10100000001100100 1.15741488e8
10100000001101110 1.15741488e8
00101001000110101 1.15741488e8
10010000100010010 1.15741488e8
10101000001101000 1.15741488e8
best: 1.0
10101000001010110 1.15741488e8
00111001000110011 1.15741488e8
10010000001111110 1.15741488e8
10100000001101101 1.15741488e8
01100000001110110 1.15741488e8
01001000001100101 1.15741488e8
00111001001100101 1.15741488e8
10100001001100100 1.15741488e8
00111011001010011 1.15741488e8
10101100101100101 1.15741488e8
10001011001100000 1.15741488e8
00010000110010001 1.15741488e8
10010000001110011 1.15741488e8
01001011001001111 1.15741488e8
01001001110110110 1.15741488e8
10010000000010010 1.15741488e8
10111000001000000 1.15741488e8
01001000001110111 1.15741488e8
10000000001100110 1.15741488e8
00001001001100101 1.15741488e8
00111011000111011 1.15741488e8
10111001001010001 1.15741488e8
best: 1.0
01011001110110010 1.15741488e8
10100011001010010 1.15741488e8
00011001000110011 1.15741488e8
00011001110110011 1.15741488e8
01000000001110110 1.15741488e8
10111001001010011 1.15741488e8
10001001001100000 1.15741488e8
01100001001110011 1.15741488e8
01001000110010110 1.15741488e8
10000000101011110 1.15741488e8
00111001000000001 1.15741488e8
10001011001110010 1.15741488e8
00111010011010100 1.15741488e8
11111011001110001 1.15741488e8
10101010110100101 1.15741488e8
10101000001010110 1.15741488e8
00111001000110011 1.15741488e8
10010000001111110 1.15741488e8
10100000001101101 1.15741488e8
01100000001110110 1.15741488e8
01001000001100101 1.15741488e8
00111001001100101 1.15741488e8
best: 1.0
11111011011110000 1.15741488e8
01111001001100101 1.15741488e8
10111010010000100 1.15741488e8
10111000001110010 1.15741488e8
10011001001100000 1.15741488e8
10001000110010110 1.15741488e8
00111001000110011 1.15741488e8
10001001001000010 1.15741488e8
00001001001110011 1.15741488e8
10001010110000100 1.15741488e8
00100001110110100 1.15741488e8
00001010011110100 1.15741488e8
00001000111101101 1.15741488e8
00110001011010001 1.15741488e8
00000010111011101 1.15741488e8
01011001110110010 1.15741488e8
10100011001010010 1.15741488e8
00011001000110011 1.15741488e8
00011001110110011 1.15741488e8
01000000001110110 1.15741488e8
10111001001010011 1.15741488e8
10001001001100000 1.15741488e8
best: 1.0
00001010111001101 1.15741488e8
01000001010110010 1.15741488e8
00100010111011101 1.15741488e8
10100001001110000 1.15741488e8
10111000001110010 1.15741488e8
10011010110110000 1.15741488e8
00100001010110010 1.15741488e8
00010000001011101 1.15741488e8
10001001010010111 1.15741488e8
00011101000111001 1.15741488e8
10111001001100110 1.15741488e8
10111001000011000 1.15741488e8
01000000101010100 1.15741488e8
10001111111001100 1.15741488e8
10011000010100010 1.15741488e8
11111011011110000 1.15741488e8
01111001001100101 1.15741488e8
10111010010000100 1.15741488e8
10111000001110010 1.15741488e8
10011001001100000 1.15741488e8
10001000110010110 1.15741488e8
00111001000110011 1.15741488e8
best: 1.0
10001000000000110 1.15741488e8
10100001001110110 1.15741488e8
10001010110111001 1.15741488e8
00100000010000000 1.15741488e8
10111000011110010 1.15741488e8
10011000001000110 1.15741488e8
10111010010000100 1.15741488e8
00010000001010100 1.15741488e8
10111001000110000 1.15741488e8
01111000100010100 1.15741488e8
00111100100000010 1.15741488e8
01000011010100011 1.15741488e8
00100011010100110 1.15741488e8
10011001100100011 1.15741488e8
00011010101100101 1.15741488e8
00001010111001101 1.15741488e8
01000001010110010 1.15741488e8
00100010111011101 1.15741488ewarning: dubious run time results for queens: [0.45,0.55,0.65999997,0.46,0.53]
warning: dubious mut time results for queens: [0.45,0.54,0.65,0.46,0.52]
warning: dubious run time results for queens: [0.45,0.55,0.65999997,0.46,0.53]
warning: dubious mut time results for queens: [0.45,0.54,0.65,0.46,0.52]
warning: dubious run time results for queens: [0.71,0.5,0.56,0.59,0.61]
warning: dubious run time results for queens: [0.71,0.5,0.56,0.59,0.61]
8
10100001001110000 1.15741488e8
10111000001110010 1.15741488e8
10011010110110000 1.15741488e8
00100001010110010 1.15741488e8
best: 1.0
10100011010000000 1.15741488e8
00100001001110010 1.15741488e8
10111000110111001 1.15741488e8
10011000101100111 1.15741488e8
00000001010110000 1.15741488e8
10011000100100010 1.15741488e8
00011000011000100 1.15741488e8
10101000000110000 1.15741488e8
10111010000000100 1.15741488e8
00110011010100010 1.15741488e8
10011000100000100 1.15741488e8
00111100100101111 1.15741488e8
00010000010000000 1.15741488e8
01000011001100000 1.15741488e8
00101010010100111 1.15741488e8
10001000000000110 1.15741488e8
10100001001110110 1.15741488e8
10001010110111001 1.15741488e8
00100000010000000 1.15741488e8
10111000011110010 1.15741488e8
10011000001000110 1.15741488e8
10111010010000100 1.15741488e8
best: 1.0
done evolving!
