Optimizing /h/ywang30/nofib/spectral/scc
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 59104.0
01000000010011000001100010010000110101000101100,0100000001 57504.0
10101001001101110101110100001111000100100010000,1010100100 59048.0
10100000100100101010011110011011100110000000111,1010000010 118208.0
00001001001100100111000110100101010110100110000,0000100100 58704.0
10000000000010000000010011100110111001011011011,1000000000 118208.0
10100001111100010101000101001100010010111100000,1010000111 58680.0
11100000100000000010100111111101110110111010111,1110000010 118208.0
11011001001011000000111101110001011011001000101,1101100100 118208.0
00001000011100101000111001101100110000111000001,0000100001 118208.0
01110101010001000001101011111010001110001001100,0111010101 59048.0
11101100100000001100111011010010100010100000011,1110110010 118208.0
10111110000010000000010110101101000111000110010,1011111000 59080.0
00001110000010000101000010101011000101001000111,0000111000 118208.0
11010010000010011000001000100101010000100000100,1101001000 58224.0
00110000011001101101011110101101001100000010010,0011000001 58600.0
best: 0.9729290741743367
00001000001110000101010010101100100001011000111,0000100000 118208.0
00001110010011000101000010111000010101001001100,0000111001 58704.0
00001000011100101000111001101100110000111000001,0000100001 118208.0
10101001001101110101110100001111000100100010000,1010100100 59048.0
10110000000100101001011111111010000110000001110,1011000000 59048.0
10100001111100010101000101001100010010111100000,1010000111 58680.0
00111000101000001100011011111110000010000000011,0011100010 118208.0
11111110000010001000011110101101010100000110110,1111111000 58200.0
01110010010011011001011100101101010000000000010,0111001001 58200.0
10011110110011111111001001110101010100000000110,1001111011 58224.0
00000100110001000100101010001000010101000101100,0000010011 58704.0
11000100110100010001000101011100011010011100010,1100010011 58704.0
00110110011001101111111010110010000101001010010,0011011001 59048.0
00011010010110101101111001101010110000111100011,0001101001 118208.0
00011110010000000000010111100111100111000010011,0001111001 118208.0
01000000010011000001100010010000110101000101100,0100000001 57504.0
11010010000010011000001000100101010000100000100,1101001000 58224.0
00110000011001101101011110101101001100000010010,0011000001 58600.0
10100001111100010101000101001100010010111100000,1010000111 58680.0
00001001001100100111000110100101010110100110000,0000100100 58704.0
10101001001101110101110100001111000100100010000,1010100100 59048.0
01110101010001000001101011111010001110001001100,0111010101 59048.0
best: 0.9729290741743367
11110001011010011100000001000100010010100000000,1111000101 58200.0
11101111001101011100011100101111000100000110100,1110111100 59048.0
01010010000011011001011000100101010000000000000,0101001000 58224.0
01100000011011010001000100000000110000111100100,0110000001 57480.0
01100100011001100001001111111100001110010000010,0110010001 59080.0
01111010000011011001011110101101010100000000010,0111101000 58200.0
01100100110011000101101000101000010101000001000,0110010011 58680.0
00001110010110100111000010111100010100001100100,0000111001 58704.0
00110001111000010101000100001100010010110100010,0011000111 58680.0
00100000000001011001111111111100000110110000111,0010000000 118208.0
00000000001110110101111100101101010010100011000,0000000000 58704.0
10001010110010100111010000111011001111000101110,1000101011 59072.0
01010001001110100111100110110111011110111110000,0101000100 58672.0
00110001011000101101001111100111101100000010111,0011000101 118208.0
10111110101110000101110010101101100000011010101,1011111010 118208.0
01000000010011000001100010010000110101000101100,0100000001 57504.0
11111110000010001000011110101101010100000110110,1111111000 58200.0
01110010010011011001011100101101010000000000010,0111001001 58200.0
10011110110011111111001001110101010100000000110,1001111011 58224.0
11010010000010011000001000100101010000100000100,1101001000 58224.0
00110000011001101101011110101101001100000010010,0011000001 58600.0
10100001111100010101000101001100010010111100000,1010000111 58680.0
best: 0.9725230102869518
01010010000010011000001000100101010000000000100,0101001000 58224.0
10011010010010010011001000100001011111100000110,1001101001 58704.0
00110001011001111101011100101101000100010000010,0011000101 58600.0
11010001010011011101011000100101010000100000000,1101000101 58224.0
11111010011010001000001110001100010110100110110,1111101001 58200.0
11111010000010001000011000101101010000000110110,1111101000 58200.0
10100010010001011011111011110101010100010000111,1010001001 118208.0
01110011010000111000001111100101101100100010101,0111001101 118208.0
11110001011000010101000101001100010010110000000,1111000101 58680.0
01100000011111101001111100101101010000100010000,0110000001 58200.0
10001111110011101111010000010100010110010000100,1000111111 58224.0
11000010010011001100001101101010000100100000100,1100001001 59072.0
01000001000011011110001010010001111101000111010,0100000100 57024.0
11110011010010101011001101000111011100000100010,1111001101 58648.0
00011100000101100111000110111100000101010110100,0001110000 59104.0
01100000011011010001000100000000110000111100100,0110000001 57480.0
01000000010011000001100010010000110101000101100,0100000001 57504.0
11110001011010011100000001000100010010100000000,1111000101 58200.0
01111010000011011001011110101101010100000000010,0111101000 58200.0
11111110000010001000011110101101010100000110110,1111111000 58200.0
01110010010011011001011100101101010000000000010,0111001001 58200.0
01010010000011011001011000100101010000000000000,0101001000 58224.0
best: 0.9648077964266378
01100000010011111001111100101101010100100000000,0110000001 58200.0
01100000011010001000111100001101010010100110000,0110000001 58200.0
01110001010011011100001010100101001000100000101,0111000101 118208.0
10001010010011011101010000110100010100000000000,1000101001 58224.0
11110010011010010001011100001100010000010000010,1111001001 58680.0
01100010010011011001000100101000110001000100100,0110001001 57000.0
00011100000111100101000110101101010100000100010,0001110000 58704.0
11111000011011011000000110000000010000111100100,1111100001 58200.0
11111010010010001000011101101011010100000100100,1111101001 58648.0
11110111000010001000110011101101010100000110110,1111011100 58200.0
01111011010110000000101100000100010110110110110,0111101101 58680.0
00000001000011011010110010110001011111010101010,0000000100 58224.0
11111110001000011001110010101001110101010001100,1111111000 57000.0
01111010010010011011111101101110011000000000010,0111101001 58648.0
11111000101011001001001000110101000100000100001,1111100010 118208.0
01000001000011011110001010010001111101000111010,0100000100 57024.0
01100000011011010001000100000000110000111100100,0110000001 57480.0
01000000010011000001100010010000110101000101100,0100000001 57504.0
11111010011010001000001110001100010110100110110,1111101001 58200.0
11111010000010001000011000101101010000000110110,1111101000 58200.0
01100000011111101001111100101101010000100010000,0110000001 58200.0
11110001011010011100000001000100010010100000000,1111000101 58200.0
best: 0.9644017325392529
00000001011011010011100100110001110010111101000,0000000101 57504.0
11000001000010000001110010001001010101000100110,1100000100 58704.0
11010101000011011110101010110001011100000111010,1101010100 58224.0
01100001011011010010010100000000111011010101100,0110000101 57480.0
01100010010011011001000100101000110001000100100,0110001001 57000.0
11100000011010001000011100001101010010000110010,1110000001 58200.0
01100000010111111001111100101101010000100000000,0110000001 58200.0
00000000010011000011100010110001111111000101110,0000000001 57504.0
01000010010011011001000110111000110101000101100,0100001001 57024.0
10100100110000110001111110100101110001100100010,1010010011 57480.0
01010001100001001110001010000011010001000111000,0101000110 58672.0
01100110010001101101010100100011000001100100000,0110011001 59048.0
11100010011010110010000001001100010110000010111,1110001001 118208.0
00110000110010001010111011011110101001000000010,0011000011 57848.0
01101001100010011110001111010001110101001100010,0110100110 57000.0
01100010010011011001000100101000110001000100100,0110001001 57000.0
11111110001000011001110010101001110101010001100,1111111000 57000.0
01000001000011011110001010010001111101000111010,0100000100 57024.0
01100000011011010001000100000000110000111100100,0110000001 57480.0
01000000010011000001100010010000110101000101100,0100000001 57504.0
01100000010011111001111100101101010100100000000,0110000001 58200.0
01100000011010001000111100001101010010100110000,0110000001 58200.0
best: 0.9644017325392529
11101010001000011001010110111001110101010001100,1110101000 57000.0
01101000011010010110001111010001110101101100110,0110100001 57480.0
00000001011011010011100110110001110111111101110,0000000101 57504.0
01000000001000001001110010110000110101010101100,0100000000 57024.0
01100001111010010010000100010001111001011101010,0110000111 57480.0
01000000010011001001000110100000111001000101110,0100000001 57024.0
01010110000001011001000110101000110101010001100,0101011000 57024.0
01000010010011011001000110101000110101000101100,0100001001 57024.0
01100010011011011001000100000000110001101100100,0110001001 57000.0
01011000010011000101100110011000110101010101010,0101100001 57504.0
00101100101000110001011101101101000001100111110,0010110010 59080.0
11111110000001011001100111011001110011011001001,1111111000 118208.0
01001001001010110000001010010000111101000111010,0100100100 57504.0
01101100110010010000100111101001110010001100100,0110110011 57480.0
00000010110010011011111011010101101001011101000,0000001011 57424.0
01100010010011011001000100101000110001000100100,0110001001 57000.0
01101001100010011110001111010001110101001100010,0110100110 57000.0
11111110001000011001110010101001110101010001100,1111111000 57000.0
01000010010011011001000110111000110101000101100,0100001001 57024.0
01000001000011011110001010010001111101000111010,0100000100 57024.0
01100001011011010010010100000000111011010101100,0110000101 57480.0
10100100110000110001111110100101110001100100010,1010010011 57480.0
best: 0.9644017325392529
01100010010011011001000100010000110101001101100,0110001001 57000.0
01010001000001011111001110010001110101000011110,0101000100 57024.0
01000011010011011001000110111001110111001101110,0100001101 57024.0
01000010010011011001000100111000110101000100100,0100001001 57024.0
01101010010010011001110110101001110001000100100,0110101001 57000.0
01000000010011001001000110100000111001000101100,0100000001 57024.0
01100001100010011010000111110001110001001100110,0110000110 57000.0
01000001000010011000001110010000110101001100110,0100000100 57024.0
11101010000001011001110000101000110101000101100,1110101000 57000.0
11100101110011001001000110010000101100011011000,1110010111 57400.0
10000111110001110011110110011101110000100100101,1000011111 118208.0
11100001001011001010010100100110111011010001111,1110000100 118208.0
01000000000100000011110000110101110100010100101,0100000000 118208.0
01000010110111110011011011000101110011001110000,0100001011 57504.0
10001010110010000001111011000101000101011100000,1000101011 59104.0
11101010001000011001010110111001110101010001100,1110101000 57000.0
01100010011011011001000100000000110001101100100,0110001001 57000.0
01100010010011011001000100101000110001000100100,0110001001 57000.0
01101001100010011110001111010001110101001100010,0110100110 57000.0
