Optimizing /h/ywang30/nofib/imaginary/tak
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 104416.0
01000000 104416.0
10101001 104416.0
10100000 104416.0
00001001 104416.0
10000000 104416.0
10100001 104416.0
11100000 104416.0
11011001 104416.0
00001000 104416.0
01110101 104416.0
11101100 104416.0
10111110 104416.0
00001110 104416.0
11010010 104416.0
00110000 104416.0
best: 1.0
00001000 104416.0
10101110 104416.0
00001000 104416.0
00001100 104416.0
10110000 104416.0
11110000 104416.0
00111000 104416.0
11111110 104416.0
01110010 104416.0
11110010 104416.0
00000100 104416.0
00010000 104416.0
00110110 104416.0
00011010 104416.0
00011110 104416.0
01000000 104416.0
10101001 104416.0
10100000 104416.0
00001001 104416.0
10000000 104416.0
10100001 104416.0
11100000 104416.0
best: 1.0
10001001 104416.0
01111110 104416.0
00011000 104416.0
10100111 104416.0
10101000 104416.0
01111010 104416.0
00001000 104416.0
10101110 104416.0
00001001 104416.0
00100000 104416.0
10010000 104416.0
11100110 104416.0
11011000 104416.0
00111001 104416.0
10111110 104416.0
00001000 104416.0
10101110 104416.0
00001100 104416.0
10110000 104416.0
11110000 104416.0
00111000 104416.0
11111110 104416.0
best: 1.0
01110000 104416.0
00110000 104416.0
10101000 104416.0
10001001 104416.0
10100010 104416.0
11111000 104416.0
10100000 104416.0
01111001 104416.0
10000000 104416.0
11110000 104416.0
10100001 104416.0
10111000 104416.0
00001000 104416.0
10001101 104416.0
10111100 104416.0
10001001 104416.0
01111110 104416.0
00011000 104416.0
10100111 104416.0
10101000 104416.0
01111010 104416.0
00001000 104416.0
best: 1.0
10001101 104416.0
10110000 104416.0
00101001 104416.0
10100000 104416.0
10000000 104416.0
10100001 104416.0
11101001 104416.0
10001001 104416.0
00001001 104416.0
01111001 104416.0
00100011 104416.0
01001000 104416.0
00100101 104416.0
10100111 104416.0
00001111 104416.0
01110000 104416.0
00110000 104416.0
10101000 104416.0
10001001 104416.0
10100010 104416.0
11111000 104416.0
10100000 104416.0
best: 1.0
11001000 104416.0
01111001 104416.0
11100000 104416.0
10100000 104416.0
10101001 104416.0
10110000 104416.0
10101000 104416.0
01001000 104416.0
00101111 104416.0
01001001 104416.0
01100000 104416.0
10001101 104416.0
10110011 104416.0
01100011 104416.0
01011000 104416.0
10001101 104416.0
10110000 104416.0
00101001 104416.0
10100000 104416.0
10000000 104416.0
10100001 104416.0
11101001 104416.0
best: 1.0
10100000 104416.0
10100000 104416.0
11001000 104416.0
10110000 104416.0
10000000 104416.0
00001001 104416.0
00111011 104416.0
11100001 104416.0
00101001 104416.0
10011000 104416.0
11000001 104416.0
10110000 104416.0
01000000 104416.0
10000011 104416.0
01001011 104416.0
11001000 104416.0
01111001 104416.0
11100000 104416.0
10100000 104416.0
10101001 104416.0
10110000 104416.0
10101000 104416.0
best: 1.0
10100000 104416.0
10111001 104416.0
10110000 104416.0
10100000 104416.0
11100000 104416.0
01001000 104416.0
00111001 104416.0
11100001 104416.0
00101011 104416.0
10101100 104416.0
10001011 104416.0
00110000 104416.0
10110000 104416.0
00001011 104416.0
01001001 104416.0
10100000 104416.0
11001000 104416.0
10110000 104416.0
10000000 104416.0
00001001 104416.0
00111011 104416.0
11100001 104416.0
best: 1.0
01101001 104416.0
10100011 104416.0
10111001 104416.0
00111001 104416.0
10110000 104416.0
10101001 104416.0
10001001 104416.0
01100001 104416.0
01101000 104416.0
10100000 104416.0
01100001 104416.0
10001011 104416.0
00110010 104416.0
10100011 104416.0
10101010 104416.0
10100000 104416.0
10111001 104416.0
10110000 104416.0
11100000 104416.0
01001000 104416.0
00111001 104416.0
11100001 104416.0
best: 1.0
10100011 104416.0
10100001 104416.0
10111010 104416.0
10101000 104416.0
11000001 104416.0
10101000 104416.0
00111001 104416.0
10001001 104416.0
10001001 104416.0
10001010 104416.0
11111001 104416.0
11111010 104416.0
01001000 104416.0
00100001 104416.0
00100010 104416.0
01101001 104416.0
10100011 104416.0
10111001 104416.0
00111001 104416.0
10110000 104416.0
10101001 104416.0
10001001 104416.0
best: 1.0
00101010 104416.0
00110001 104416.0
00100010 104416.0
10100001 104416.0
10101000 104416.0
10001010 104416.0
10111001 104416.0
00100000 104416.0
10101001 104416.0
00011101 104416.0
11100001 104416.0
10111001 104416.0
10110000 104416.0
10001111 104416.0
10111000 104416.0
10100011 104416.0
10100001 104416.0
10111010 104416.0
10101000 104416.0
11000001 104416.0
00111001 104416.0
10001001 104416.0
best: 1.0
11111001 104416.0
10100001 104416.0
10101010 104416.0
00110000 104416.0
10111000 104416.0
10101000 104416.0
10111010 104416.0
00100000 104416.0
10111001 104416.0
01111000 104416.0
00101100 104416.0
00110011 104416.0
10111011 104416.0
11000001 104416.0
11000010 104416.0
00101010 104416.0
00110001 104416.0
00100010 104416.0
10100001 104416.0
10101000 104416.0
10001010 104416.0
10111001 104416.0
best: 1.0
10100011 104416.0
10111001 104416.0
10111000 104416.0
11000000 104416.0
00110001 104416.0
10001000 104416.0
00111000 104416.0
10111000 104416.0
11111011 104416.0
10101011 104416.0
10001000 104416.0
00101100 104416.0
00000000 104416.0
00110011 104416.0
01110010 104416.0
11111001 104416.0
10100001 104416.0
10101010 104416.0
00110000 104416.0
10111000 104416.0
10101000 104416.0
10111010 104416.0
best: 1.0
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
2446.38user 487.45system 1:08:33elapsed 71%CPU (0avgtext+0avgdata 133556maxresident)k
1058576inputs+1364760outputs (682major+67253769minor)pagefaults 0swaps
