Optimizing /h/ywang30/nofib/imaginary/x2n1
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 1.1583024e7
01000 1.1583024e7
10101 1.1583024e7
10100 1.1583024e7
00001 1.1583024e7
10000 1.1583024e7
10100 1.1583024e7
11100 1.1583024e7
11011 1.1583024e7
00001 1.1583024e7
01110 1.1583024e7
11101 1.1583024e7
10111 1.1583024e7
00001 1.1583024e7
11010 1.1583024e7
00110 1.1583024e7
best: 1.0
00001 1.1583024e7
10101 1.1583024e7
00001 1.1583024e7
00001 1.1583024e7
10110 1.1583024e7
11110 1.1583024e7
00111 1.1583024e7
11111 1.1583024e7
01110 1.1583024e7
11110 1.1583024e7
00000 1.1583024e7
00010 1.1583024e7
00110 1.1583024e7
00011 1.1583024e7
00011 1.1583024e7
01000 1.1583024e7
10101 1.1583024e7
10100 1.1583024e7
00001 1.1583024e7
10000 1.1583024e7
11100 1.1583024e7
11011 1.1583024e7
best: 1.0
10001 1.1583024e7
01111 1.1583024e7
00011 1.1583024e7
11100 1.1583024e7
10101 1.1583024e7
01111 1.1583024e7
00001 1.1583024e7
10101 1.1583024e7
00001 1.1583024e7
00100 1.1583024e7
10010 1.1583024e7
11100 1.1583024e7
11011 1.1583024e7
00111 1.1583024e7
10111 1.1583024e7
00001 1.1583024e7
10101 1.1583024e7
10110 1.1583024e7
11110 1.1583024e7
00111 1.1583024e7
11111 1.1583024e7
01110 1.1583024e7
best: 1.0
00111 1.1583024e7
00110 1.1583024e7
10101 1.1583024e7
10001 1.1583024e7
10100 1.1583024e7
10111 1.1583024e7
11100 1.1583024e7
00111 1.1583024e7
10000 1.1583024e7
11110 1.1583024e7
11100 1.1583024e7
10111 1.1583024e7
00001 1.1583024e7
00110 1.1583024e7
10111 1.1583024e7
10001 1.1583024e7
01111 1.1583024e7
00011 1.1583024e7
11100 1.1583024e7
10101 1.1583024e7
00001 1.1583024e7
00100 1.1583024e7
best: 1.0
10001 1.1583024e7
11110 1.1583024e7
00101 1.1583024e7
11100 1.1583024e7
10000 1.1583024e7
11100 1.1583024e7
10101 1.1583024e7
00110 1.1583024e7
00001 1.1583024e7
00110 1.1583024e7
00100 1.1583024e7
01001 1.1583024e7
01100 1.1583024e7
11100 1.1583024e7
10110 1.1583024e7
00111 1.1583024e7
00110 1.1583024e7
10101 1.1583024e7
10001 1.1583024e7
10100 1.1583024e7
10111 1.1583024e7
11100 1.1583024e7
best: 1.0
11001 1.1583024e7
00111 1.1583024e7
10101 1.1583024e7
11100 1.1583024e7
11110 1.1583024e7
10110 1.1583024e7
10101 1.1583024e7
01001 1.1583024e7
11110 1.1583024e7
01001 1.1583024e7
00101 1.1583024e7
10001 1.1583024e7
11110 1.1583024e7
01100 1.1583024e7
00010 1.1583024e7
10001 1.1583024e7
11110 1.1583024e7
00101 1.1583024e7
11100 1.1583024e7
10000 1.1583024e7
10101 1.1583024e7
00110 1.1583024e7
best: 1.0
11100 1.1583024e7
11100 1.1583024e7
11001 1.1583024e7
11110 1.1583024e7
10000 1.1583024e7
01010 1.1583024e7
11110 1.1583024e7
00100 1.1583024e7
00101 1.1583024e7
10011 1.1583024e7
11000 1.1583024e7
11110 1.1583024e7
01000 1.1583024e7
10000 1.1583024e7
00001 1.1583024e7
11001 1.1583024e7
00111 1.1583024e7
10101 1.1583024e7
11100 1.1583024e7
11110 1.1583024e7
10110 1.1583024e7
01001 1.1583024e7
best: 1.0
11100 1.1583024e7
11110 1.1583024e7
11110 1.1583024e7
10100 1.1583024e7
11101 1.1583024e7
01000 1.1583024e7
01110 1.1583024e7
10100 1.1583024e7
11100 1.1583024e7
11110 1.1583024e7
01101 1.1583024e7
00110 1.1583024e7
11110 1.1583024e7
01001 1.1583024e7
01001 1.1583024e7
11100 1.1583024e7
11001 1.1583024e7
11110 1.1583024e7
10000 1.1583024e7
01010 1.1583024e7
00100 1.1583024e7
00101 1.1583024e7
best: 1.0
01101 1.1583024e7
11100 1.1583024e7
11110 1.1583024e7
00110 1.1583024e7
11110 1.1583024e7
11100 1.1583024e7
01001 1.1583024e7
11101 1.1583024e7
01101 1.1583024e7
11100 1.1583024e7
10101 1.1583024e7
01101 1.1583024e7
01110 1.1583024e7
01101 1.1583024e7
10101 1.1583024e7
11100 1.1583024e7
11110 1.1583024e7
10100 1.1583024e7
11101 1.1583024e7
01000 1.1583024e7
01110 1.1583024e7
01101 1.1583024e7
best: 1.0
01100 1.1583024e7
01101 1.1583024e7
10111 1.1583024e7
10100 1.1583024e7
00001 1.1583024e7
11101 1.1583024e7
11110 1.1583024e7
11000 1.1583024e7
11101 1.1583024e7
10001 1.1583024e7
01110 1.1583024e7
10111 1.1583024e7
01000 1.1583024e7
01101 1.1583024e7
01100 1.1583024e7
01101 1.1583024e7
11100 1.1583024e7
11110 1.1583024e7
00110 1.1583024e7
01001 1.1583024e7
11101 1.1583024e7
10101 1.1583024e7
best: 1.0
01101 1.1583024e7
01101 1.1583024e7
01100 1.1583024e7
10100 1.1583024e7
10100 1.1583024e7
10001 1.1583024e7
11110 1.1583024e7
00100 1.1583024e7
11100 1.1583024e7
11010 1.1583024e7
00101 1.1583024e7
01110 1.1583024e7
01001 1.1583024e7
10001 1.1583024e7
10110 1.1583024e7
01100 1.1583024e7
01101 1.1583024e7
10111 1.1583024e7
10100 1.1583024e7
00001 1.1583024e7
11101 1.1583024e7
11110 1.1583024e7
best: 1.0
00101 1.1583024e7
11100 1.1583024e7
11101 1.1583024e7
00101 1.1583024e7
10110 1.1583024e7
11100 1.1583024e7
10110 1.1583024e7
00100 1.1583024e7
11110 1.1583024e7
01111 1.1583024e7
00100 1.1583024e7
01101 1.1583024e7
11110 1.1583024e7
00001 1.1583024e7
00001 1.1583024e7
01101 1.1583024e7
01100 1.1583024e7
10100 1.1583024e7
10001 1.1583024e7
11110 1.1583024e7
00100 1.1583024e7
11100 1.1583024e7
best: 1.0
10001 1.1583024e7
11100 1.1583024e7
11111 1.1583024e7
10011 1.1583024e7
00101 1.1583024e7
00000 1.1583024e7
00110 1.1583024e7
10100 1.1583024e7
00110 1.1583024e7
11110 1.1583024e7
00100 1.1583024e7
00100 1.1583024e7
00011 1.1583024e7
01101 1.1583024e7
10111 1.1583024e7
00101 1.1583024e7
11100 1.1583024e7
11101 1.1583024e7
10110 1.1583024e7
00100 1.1583024e7
11110 1.1583024e7
01111 1.1583024e7
best: 1.0
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
731.88user 936.24system 38:05.26elapsed 72%CPU (0avgtext+0avgdata 129776maxresident)k
1077408inputs+3478184outputs (735major+67736839minor)pagefaults 0swaps
