Optimizing gcSimulator
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 13
gens: 15
arch: 7
Basetime is: 98.333
bits: 01000000010011000001100010010000110101000101100101100011010000001011010011100110101110011110000001101000111101001000011001100001001
bits: 10101001001101110101110100001111000100100010000010001011001000110010101100100000001100101001000110010000101100100010001001000001111
bits: 10100000100100101010011110011011100110000000111101110101110100010001101000101100111100010011110000010100001101010001001110010001000
bits: 00001001001100100111000110100101010110100110000001010000010001110010010110110001001000110011000000011010010101001101110001001100011
bits: 10000000000010000000010011100110111001011011011001101100000100000110000100010001000010100110011011010010000000000011010100100110101
bits: 10100001111100010101000101001100010010111100000011001000001101111100001011101001100111001000000101000000000011111100010010011100101
bits: 11100000100000000010100111111101110110111010111100000001011001010000101100000000000111110100000001000110110110001000001111000010111
bits: 11011001001011000000111101110001011011001000101011001111010011111100000100100011000101110100110101100100010001111011100101111100000
bits: 00001000011100101000111001101100110000111000001011110001000000001001011001011011101000010001010011011101100111100011000001110100010
bits: 01110101010001000001101011111010001110001001100100011000010001100100010000011110001010101110010100101010001100000000000000100000010
bits: 11101100100000001100111011010010100010100000011101100001100010110110000101001110001111101010101101000110010010010000111010100010100
bits: 10111110000010000000010110101101000111000110010000000001010010000100010010100000110111011000001000001110111111100000000100110001100
bits: 00001110000010000101000010101011000101001000111010000001010011110101110000111111100110010001000101001011100011000000000011010110000
best: 0.565120559730711
bits: 10000000000000100010011110001111110011011010111101111100110100000010101000000000110110000110011010010110000100010011001110100100001
bits: 10111100000100100000010110011001100111000110110100110001010100010100010000100000110101010010011000011110011111100001001100010001000
bits: 01110001010001000001100011010010011111001001100101011001010000001000010000000110001110011110000001101010011101000000001001100001000
bits: 10111001100011101000111111110011000010000000111011110101010010011101101100100001111100110011110100000100000001011011001110110001000
bits: 11101001000000110111100100111101100110111010000010001001011001010000101100100000001111111001000101010100110100000000001001000001111
bits: 10101110100010000101000111111101010110011000111100000001011001010000100000010000000110110001000101000011110010001000001011010010011
bits: 11101001101000001000111001110010011011101000001111100101000011110100000101100011001101101100110101000110010001011010100001100100000
bits: 11100000100000000010100011111100111110011010011101000100000100010010101100000000000111100100010001000110100110000010011111000110111
bits: 10100001100011100010011000011001100110100000100100110010111110010001001011101000111100100010110010011100100111110101001010111001001
bits: 10000100000100110110001011101111100111011010001100101100000001000110000100010011000100001110110111110011100000101010010110110010101
bits: 00001100100010100110110011000000110001100101110001101010011001001001011011000110110100110111001000110101010101101000011011000011000
bits: 11100101011110010010001101010100110010011100000000011100111100011100001100101111101110011001010101101000001100111101001110011100101
bits: 11000101101100101110011110001011101110100100101010001001110010010001101100101100111100000010101110001100011100010011001111011001010
bits: 01000000010011000001100010010000110101000101100101100011010000001011010011100110101110011110000001101000111101001000011001100001001
bits: 10100000100100101010011110011011100110000000111101110101110100010001101000101100111100010011110000010100001101010001001110010001000
bits: 01110101010001000001101011111010001110001001100100011000010001100100010000011110001010101110010100101010001100000000000000100000010
